component,bagofwords
org.wordpress.android.ui.posts.EditPostActivity,Override protected void Create Bundle saved Instance State super Content View layout edit post activity Preference Manager Default Values this account settings false Show Editor Prefs Visual Enabled final Action action Support null Display Home true Fragment fragment extras Intent Extras String ACTION SEND equals MULTIPLE MEDIA GALLERY POST EXTRA QUICKPRESS quick media BLOG blog Blog Press Word instantiate Local show Error Finish string found return Hidden error hidden current Post Current Table Categories Site Settings Interface Category Format else long local Long POSTID Page Boolean PAGE Original contains STATE ORIGINAL Serializable CURRENT catch Class Cast Exception Abstract EDITOR FRAGMENT instanceof Media Upload Listener Image Loader image track Created Title Utils unescape HTML Name Sections Pager Adapter find pager Offscreen Limit Paging Change Simple public Selected position invalidate Options Menu CONTENT SETTINGS PREVIEW preview Preview Activity Last Start Event register Stop unregister boolean menu Inflater inflater legacy Tags Suggestion Auto Complete Text tags Tokenizer Comma remote Remote Integer parse Number parsed Service Connection setup Suggestions Prepare Items Visible switch Status Enum case SCHEDULED schedule verb break PUBLISHED UNKNOWN Draft publish update default Request Permissions Result request Code Null permissions grant Results LOCATION PERMISSION REQUEST CODE should Location Package GRANTED Search Geotagging search Toast location required Context length Manifest CAMERA DENIED WRITE EXTERNAL STORAGE Receiver Gallery Filter Legacy TOUCHED refresh open access item android home Dialog IMAGE DIALOG Featured Uploads Uploading editor toast uploading please wait Duration SHORT Failed failed uploads Object Publishable empty Save Analytics Network Available network Mode start class RESULT finish Input Method System INPUT METHOD SERVICE hide Soft From Window Decor check Camera Storage Info SELECT PHOTO MENU POSITION Resources select photo Device CAPTURE popup capture VIDEO video gallery LIBRARY from library PICKER picker launch Picture Library Video Selection Back Pressed dismiss Editing private Launch Callback Capture Path Ready Lock Extended Timeout Updates object with content title Spannable Builder Spanned Index Bounds Character Style character Styles Spans remove Html replace strong strike blockquote insert Shortcode File continue Server Source more Description substring index More given description caption Caption Helper Task task Generic Success value Failure Type Message Throwable throwable make failure LENGTH LONG Args Array execute result data Codes TAKE Picker ACTIVITY SELECTION SELECTED Handle Executor Async THREAD POOL EXECUTOR CREATED handle PICTURE Data fetch captured send Broadcast MOUNTED file Environment External Directory Runtime POSTS Memory Empty delete Recorded context intent Handles notifications Used visual when both create after selection Suppress Warnings unused Main Thread Events Succeeded event Pending remaining size Uploaded stop Notification NOTIFICATION cancel Secondary Thumbnail Poster Tracker UPLOAD FAILED again Progress Sync callback Runnable Requests poster clear Grid methods Clicked Retry QUEUED process Queue RETRIED Cancel Changed Requested Auth Header auth token Account Access Private safe Bearer Initialized fill Fields Debug Config DEBUG Java Script line message Crashlytics SPECIFIC format Locale Alert Trackable BUTTON TAPPED UNLINK EDITED BOLD ITALIC ORDERED LIST UNORDERED BLOCKQUOTE STRIKETHROUGH UNDERLINE MORE 
org.wordpress.android.ui.posts.PostsListActivity,Override public void Create Bundle saved Instance State super Content View layout post list activity Page Intent Boolean Extra EXTRA VIEW PAGES false Toolbar toolbar find Support Action action null Title String string pages posts Display Show Enabled true Home Fragment Manager Post List Posts show Error Dialog Needed Extras Warning Toast Resume Activity track Last POSTS finish Launcher slide Right this boolean Refreshing return Options Item Selected final Menu item android home Back Pressed Save Empty 
org.wordpress.android.ui.posts.CategoryArrayAdapter,public Category Array Adapter Context context resource List Node objects super Resource Override View position convert Group parent Layout Inflater inflater System Service LAYOUT INFLATER SERVICE false Text find category Image level Indicator Level Html from Item Name Visibility GONE else Params params width return 
org.wordpress.android.ui.posts.PromoDialog,public static Promo Dialog Instance drawable title description button Label fragment Bundle args Arguments return Override Create saved State dialog super Drawable Title Description Button Window request Feature FEATURE TITLE Canceled Touch Outside false Cancelable View Layout Inflater inflater Group container layout promo void Created view find cancel Text Image image Resources Click Listener 
org.wordpress.android.ui.posts.PostPreviewActivity,Override public void Create Bundle saved Instance State super Content View layout post preview activity Toolbar toolbar find Support Action action null Display Home Enabled true Show Title Local Post Long LOCAL POST Blog BLOG Page Boolean PAGE else Intent Extra false String string page finish Activity Launcher slide Right this boolean Options Menu menu Inflater inflate return Item Selected final item android home Back Pressed edit Result private show Message Necessary Group message container Updating Upload Service Uploading Table Change Draft Visibility GONE Text text local changes explainer draft Publish publish Click Listener Utils animate Bottom Revert revert VISIBLE Analytics Tracker track EDITOR DISCARDED CHANGES Relative Layout Params params Rule LEFT CENTER VERTICAL Margin margins bottom Resources Dimension Pixel Size dimen small buttons Buttons BELOW large INVISIBLE Handler Delayed Runnable Finishing Suppress Warnings unused Event Main Thread Events Started event Progress Ended hide refresh Preview 
org.wordpress.android.ui.posts.EditPostPreviewFragment,Override public View Create Layout Inflater inflater Group container Bundle saved Instance State Activity Edit Post root layout edit post preview fragment false find webview Text textview Tree Observer Global Listener void null load remove this return Resume super Requested Pause Load Task cancel true Preview execute Executor Async THREAD POOL EXECUTOR 
org.wordpress.android.ui.posts.PostUtils,public static String collapse Shortcodes final post Content null contains return short Code Pattern compile Matcher matcher Buffer while find group Known append Replacement else POSTS unknown shortcode Tail 
org.wordpress.android.ui.posts.EditPostSettingsFragment,Override public void Create Bundle saved Instance State super Activity null Preference Manager Default Values account settings false View Layout Inflater inflater Group container Post Edit Root layout edit post fragment return Calendar Year YEAR Month MONTH Hour HOUR Minute MINUTE Categories Array List String Excerpt Text find Password password Date Click Listener this Status Spinner status Item Selected Adapter parent view position long update Settings Save Button Nothing Tags tags Section section Featured Image Label featured Network Prefs Visual Editor Enabled register Context Menu show launch Media Gallery else Visibility GONE Page Format Titles Resources array formats Formats aside audio chat gallery image link quote standard video Word Press Current Blog equals Helper Task execute Gson gson Type type Token json from Json size Entry entry Escape Utils unescape Html catch Runtime Exception POSTS simple spinner item Drop Down android dropdown active Empty length Selection Touch boolean Motion Event motion init Fields populate Location menu Info SELECT LIBRARY MENU POSITION string select media library CLEAR FEATURED IMAGE Remove switch case true VISIBLE default private items publish draft pending review adapter created flags FORMAT SHOW DATE ABBREV TIME formatted Time Enum PUBLISHED SCHEDULED UNKNOWN break DRAFT PENDING PRIVATE JSON Keywords blog Local Table Cursor cursor File value First Width Display Metrics width Pixels padding thumb Thumbnail load close Result request Code result Intent data Request Codes TAKE PHOTO VIDEO extras ACTIVITY REQUEST CODE CATEGORIES Extras contains selected Serializable Picker RESULT Integer parse Dialog bundle categories Hash class start category Category location Search remove check Permission search Action action event handled ACTION SEARCH final Shown Alert Builder Positive Interface dialog which Neutral immediately Custom Negative cancel timestamp Updates object with content Added excerpt Timestamp Draft Created Position Changed From Published supports Soft Input hide fetch Coords 
org.wordpress.android.ui.posts.AddCategoryActivity,Override protected void Create Bundle saved Instance State super Content View layout category extras Intent Extras null load Categories final Button cancel find Click Listener public Edit Text Name name String Slug slug Desc desc Spinner parent Selected Item Category Node trim Position Word Press replace equals Alert Dialog Builder dialog Activity this Title Resources string required field Message Positive Interface which Cancelable true create show else bundle continue TRUE Result RESULT finish FALSE 
org.wordpress.android.ui.posts.SelectCategoriesActivity,Override public void Create Bundle saved Instance State super Content View layout select categories Title Resources String string Action action Support null Home Button Enabled true Display List find android list Scroll Position Manager false Choice Mode CHOICE MODE MULTIPLE Items Focus Click Listener Adapter position long Checked Count boolean uncategorized Need Selected Category Levels size Name equals Ignore Case Categories Hash extras Intent Extras blog Word Press instantiate Blog Local Toast make Text this found LENGTH SHORT show finish contains Serializable Swipe Refresh Helper Custom Layout Started Network Utils check Connection Base Context Refreshing return refresh populate Available final Result success Finishing Activity adding Duration else failed LONG FAIL category error Gets xmlrpc call result message fetch Message Object params Remote Username Password Client XMLRPC Factory Httpuser Httppassword Method CATEGORIES catch Exception POSTS Pull Parser clear Table Parent parent converted Integer parse insert slug desc update Offset struct description CATEGORY Canonical that Handler post Runnable format value automatically renamed protected request Code data switch case continue TRUE Names Thread Update Results start break Options Menu menu Inflater inflater item bundle class home private Back Pressed 
org.wordpress.android.ui.plans.RemoteTests,Override public void Error Response Volley response PLANS Rest Client returned error from mock call Message assert False true test Global Plans throws Exception Request Abstract Listener listener parse JSON Object plans Array original length current Equals size Description Jetpack free speeds your site images secures enables traffic customization tools Product Name Free Bill Period Price Cost Available Everything included with Premium well live chat support unlimited access premium themes Word Press Business make Method POST https wordpress rest null Site names String Long value Discount Formatted Slug True Current Start Trial bundle business sites Features features Title blog Your space create posts pages basic false Part Support those times when find answer Find answers questions community forum Community kind offer Priority security 
org.wordpress.android.ui.plans.PlanFragment,public static Plan Fragment Instance Site site fragment PLANS return Override void Create Bundle saved State super null contains SITE Serializable serial instanceof View Layout Inflater inflater Group container final root layout plan false Container Linear find Resume refresh Save 
org.wordpress.android.ui.plans.PlansActivity,Override public void Create Bundle saved Instance State super Content View layout plans activity null Local Blog LOCAL TABLE BLOG Serializable serializable AVAILABLE PLANS instanceof Site Plan Available Plans else Intent Extra Word Press STATS blog with local cannot loaded from Toast make Text this string loading error LENGTH LONG show finish return Pager find viewpager Layout Toolbar toolbar Support Action Navigation Click Listener Back Pressed action Title String Elevation Display Show Enabled true Home Change Simple Selected position update Purchase Prefs Billing start Helper Progress Update Service setup Pause Event Default unregister private site Adapter global Utils Global Product unable match boolean Button Current false long current Table compare Products GREATER PRODUCT Group frame purchase container Price text price Process Visibility VISIBLE animate Bottom Target Build VERSION CODES LOLLIPOP reveal Tree Observer remove Point Pixel Size Activity float Radius Math hypot center Animator Animation create Circular Reveal Duration Resources Integer android integer config Time Interpolator Accelerate Suppress Warnings unused Main Thread Events Updated event updated different size Array Arrays sort Comparator select Failed Options Item Menu item home Config LICENSE DEBUG enable Debug Logging Setup Finished Result result Success started successfully failed catch Null Pointer Exception Unable helper 
org.wordpress.android.ui.plans.PlanPostPurchaseFragment,Override public View Create Layout Inflater inflater Group container Bundle saved Instance State root layout plan post purchase fragment false Image image find Text Title text title Description description Button button Resource drawable penandink This nice deserves respected Press Click Listener void Toast Utils show Context never listen return 
org.wordpress.android.ui.plans.PlanUpdateService,public static void start Service Context context local Table Blog Intent intent Plan Update class Extra LOCAL BLOG stop null return Override Binder Create super PLANS plan update service created Destroy destroyed Start Command flags Local Active Requests download Global Plans Features Available Site START STICKY private Word Press Rest Client Utils plans Locale Params Listener Response JSON Object response String Prefs request Completed else Empty downloading global Failed Error Volley volley features Unexpected empty from server when Loading remote Remote sites clear Array names length current Long value catch Exception parse list returned UTILS 
org.wordpress.android.ui.plans.PlanEvents,
org.wordpress.android.ui.plans.PlansUtils,Returns price passed plan formatted user locale defaults matched TODO endpoint will updated include this method temporary public static String Plan Display Price Null device Currency Code null currency Instance Locale Default Symbol Value Hashtable Integer prices Prices contains return Format Utils else DOLLAR SYMBOL CODE Nullable Global long List plans Plans size current Product Feature Features features Prefs Text Empty JSON Object Array original Response length Slug catch Exception PLANS parse list returned from server image display param global icon Size desired string containing photon ized Icon Photon Image compare Products LESSER PRODUCT EQUAL GREATER Removes stored data testing purposes Suppress Warnings unused void clear Data 
org.wordpress.android.ui.plans.PlanPostPurchaseActivity,Override public void Create Bundle saved Instance State super Content View layout plan post purchase activity Skip Text find text skip Next next Indicator Container Group indicator container Pager viewpager Change Listener Simple Selected position Prev Number update Buttons Adapter Click finish goto PAGES private boolean Current final Image Drawable background drawable circle selected unselected Property Values Holder scale Float SCALE Object Animator anim Duration Interpolator Accelerate Repeat Count Mode REVERSE Animation animation Background Resource start else image 
org.wordpress.android.ui.plans.PlansConstants,
org.wordpress.android.ui.accounts.EmailCheckerIntegrationTest,public void test Integration Email Checker email suggest Domain Correction assert true 
org.wordpress.android.ui.accounts.HelpActivity,Override protected void Create Bundle saved Instance State super init Helpshift Layout Action action Support null Home Indicator drawable close white Button Enabled true Display Elevation Text View version find help String string Word Press Name applog button Click Listener public start Activity Intent Context Viewer class boolean Options Item Selected final Menu item android home Back Pressed return finish Launcher slide Right this private Content layout activity with helpshift contact extras Extras origin ORIGIN UNKNOWN Helper Meta Data Metadata USER ENTERED Sign Fragment USERNAME show Conversation faqbutton 
org.wordpress.android.ui.accounts.NewBlogActivity,Override public void Back Pressed Blog Fragment Signout Cancel Mode else super 
org.wordpress.android.ui.accounts.SignInFragment,public Sign Fragment Email Checker Override void Create Bundle saved Instance State super null Self Hosted Boolean SELF HOSTED View Layout Inflater inflater Group container root layout signin fragment false Button Relative find button Step factor Footer Linear step footer Username username Click Listener Login Form Password password Edit Text Changed this Jetpack Auth Label jetpack auth label Progress progress text Account create account selfhosted toggle Mode show Forgot forgot Focus boolean autocorrect Editor Action Code Event event KEYCODE ENTER Info ACTION DONE fields Filled return Html from String string request Bottom Buttons bottom buttons init Visibility move Resume Utils Empty GONE true Hide with Word Press edit force VISIBLE Configuration private info Intent intent Activity Help class Extra ENTERED USERNAME Helpshift Helper ORIGIN LOGIN SCREEN HELP start Image Secondary secondary Blog Custom Message blog custom activity Launcher Result tapped link VIEW parse action else Done finish Current final Object Added Thread Runnable RESULT Success Blogs Http refresh First Five Content track Analytics Reader Update Service Application Context Enum Task TAGS Stats Widget Provider update Widgets Rest Client Request Response JSON json Primary Error message Required http erroneous Certificate client Trust Credentials Tracker FAILED Resources required Fetch login Should Send execute Abstract Callback fetch error after Editable before Char Sequence Enabled Signed Certs Manager Generic Void callback Alert Dialog Builder alert Title authorization Positive Interface dialog which Negative cancel Save 
org.wordpress.android.ui.accounts.NewBlogFragment,public Blog Fragment Override void after Text Changed Editable before Char Sequence start count fields Filled Signup Button Enabled true else false Signout Cancel Mode boolean mode Visibility View VISIBLE return Back Pressed signout Finish private validate Create User System Service Active Network Info null Alert Utils show Activity string network title message Data Valid Progress String validating site data final Site Field trim Name Title language Device Language Resources create Rest Client Error Listener Callback Step Finished step update blog wpcom Success JSON Object Response details blogname xmlrpc home blogid username Account Helper Default Update Plans Constants DEFAULT PLAN BLOG Toast created catch Exception Invalid response from Result RESULT finish tries Process Layout Inflater inflater Group container Bundle saved Instance State root layout fragment find signup button Click cancel progress text Relative this Editor Action Watcher Focus Auto Complete equals Empty Code Event event action Done 
org.wordpress.android.ui.accounts.BlogUtils,Remove blogs that list others TODO horribly slow datastructures used List should replace Hash specialized Blog class supports comparison return true change been made added updated deleted public static boolean sync Blogs Context context String Object username Value Word Press dotcom Flag null xmlrpc blogid contains Integer parse Stats Table selected database password http Username Password false Name Utils unescape HTML home Visible Bool Admin long plan Long Short product short Update Check urls validity param there least invalid Invalid Xmlrpc Valid Host Null local Return Database Home Httpuser Httppassword Image Placement Full Size Width DEFAULT IMAGE SIZE Remote Dotcom Version Hidden Plan save else Local Updated instantiate equals catch Exception found value BLOG INVALID final 
org.wordpress.android.ui.accounts.NewUserFragment,public User Fragment Email Checker Override void after Text Changed Editable before Char Sequence start count fields Filled Signup Button Enabled true else false Click View validate Create Blog boolean Editor Action action Event event return Done private System Service Active Network Info null Alert Utils show Activity string network title message Data Valid VISIBLE Progress Visibility String validating user data final site Site Field trim email password Password username Username Name language Device Language Resources create Rest Client Error Listener Callback Step Finished step Added switch case VALIDATE USER update break SITE creating your account CREATE AUTHENTICATE default Success JSON Object Response Analytics refresh Metadata Tracker track Stat CREATED ACCOUNT Prefs Visual Available finish This Stuff tries Process init root Image info Utton find button Intent Account Help class Layout Inflater inflater Group container Bundle saved Instance State layout fragment screen terms agree service Html from format parse Constants ACTION VIEW signup progress text Relative address Primary Selection length this Watcher Auto Complete Focus equals Empty autocorrect Code 
org.wordpress.android.ui.accounts.AbstractFragment,Override public void Create Bundle saved Instance State super System Service Connectivity Manager Activity Application Context CONNECTIVITY SERVICE request Queue null Volley Request protected init Password Visibility Button View root final Edit Text password Image find visibility return Click Listener Visible Resource drawable dashicon open Color Filter Resources color Transformation Method else closed Selection length 
org.wordpress.android.ui.accounts.SignInDialogFragment,public Sign Dialog Fragment static Instance String title message image Source button Label return number Buttons first second third Action Bundle bundle TITLE DESCRIPTION IMAGE NUMBER BUTTONS FIRST LABEL SECOND THIRD ACTION Arguments Style STYLE android style Theme Override View Create Layout Inflater inflater Group container saved State Window Background Drawable Resources color alert layout signin dialog fragment false Image find Title Text Description description Footer Bottom left Center center right final arguments Click Listener click Dismiss void dismiss Allowing Loss Second Third switch case Visibility GONE break Clickable true 
org.wordpress.android.ui.accounts.SignInActivity,
org.wordpress.android.ui.accounts.NewAccountActivity,
org.wordpress.android.ui.notifications.GCMIntentServiceTest,public Intent Service Test super Message class void test Should Circularize Note Icon intent String type assert True should False null invalid Type Received throws Interrupted Exception wordpress android models Account account Helper Default Access Token secret token User final Bundle bundle user Thread Runnable Override from start sleep 
org.wordpress.android.ui.notifications.NotificationsUtilsTest,public void test Spannable Character Index String Builder spannable This only assert True Notifications Utils False null 
org.wordpress.android.ui.notifications.NotesParseTest,public void test Paragraph List Item String text Spanned spanned Html Utils from assert Null Current Record Equals Full Test Mercredi septembre vous avez pulv votre dent record follows enregistr seul jour blog href http taliwutblog wordpress title target blank notes data click best period ever feat Super class current count True contains 
org.wordpress.android.ui.notifications.NotificationsDetailListFragment,public Notifications Detail List Fragment static Instance final String note fragment Note With return Override void Create Bundle saved State super null contains NOTE Restored Position LIST POSITION View Null Layout Inflater inflater Group container view layout notifications detail list false Root Linear find root Activity Created bundle Background Color Resources color white Divider Height Header Dividers Enabled Footer reload Blocks Resume Simperium Utils Notes Bucket Listener this Text Empty Pause remove Reader Comment Service stop Save First Visible Change listener footer Clicked Clickable Span clicked Added instanceof handle show Reply Type long comment Parent post Exists Site Post Comments else Follow Blog Preview site Gravatar user refresh Status Changed INVALID first Last Child Adapter break Before Update Object Delete Network change INDEX equals REMOVE Manager Stack Unread mark Event Default Events Thread Runnable catch Missing Exception NOTIFS Couldn after receiving 
org.wordpress.android.ui.notifications.NotificationsListFragment,public static Notifications List Fragment Instance return Override View Create Null Layout Inflater inflater Group container Bundle saved State view layout notifications fragment notes list false Recycler find recycler Filter Radio radio group Checked Change Listener this Divider filter divider Empty empty Linear Manager Activity void Created super null Restored Position LIST SCROLL POSITION Resume configure Bucket Adapter refresh Notes Thread Runnable Message Service remove start Simperium Utils User Authorized Buckets NOTIFS Starting buckets Pause Destroy close Cursor Click String Added Text open true Open based type activity boolean should Show Keyboard Slide Finishing Intent detail Detail class Extra NOTE EXTRA INSTANT REPLY Launcher slide From Right Result Request Codes DETAIL else private show title description button Visibility VISIBLE GONE Scrollable text Action action perform Active checked Button query unread Schema UNREAD INDEX comments TYPE COMMENT follows FOLLOW likes LIKE restore Count hide Current Save Boolean Changed listener methods Object final object Delete Network Type MODIFY Comment Local Status catch Missing Exception Could create after receiving change Before Update smooth Stop Event Default unregister Sticky Suppress Warnings unused Main Events Moderation event Moderating Hidden Failed Toast string error moderate Duration LONG 
org.wordpress.android.ui.notifications.NotificationDismissBroadcastReceiver,Override public void Receive Context context Intent intent notification Extra Message Service GROUP NOTIFICATION clear Notifications else remove Manager Compat from cancel 
org.wordpress.android.ui.notifications.NotificationEvents,
org.wordpress.android.ui.notifications.NotificationsDetailActivity,Override public void Create Bundle saved Instance State super NOTIFS Creating Notifications Detail Activity Content View layout notifications detail activity Action action Support null Display Home Enabled true String note Intent Extra List Fragment NOTE EXTRA show Error Toast Finish return Simperium Utils Notes Bucket properties Hash type Type Analytics Tracker track NOTIFICATIONS OPENED DETAILS Manager begin Transaction container commit Allowing Loss Title Unread mark Read Event Default post Events Changed catch Object Missing Exception else contains TITLE Null Boolean INSTANT REPLY false Window Soft Input Mode Layout Params SOFT INPUT STATE HIDDEN Message Service clear finish Launcher slide Right this boolean Options Item Selected Menu item android home Blog Preview long site Finishing Reader Post Stats Site local Table Block Range range FOLLOW intent class Abstract ARGS VIEW TYPE FOLLOWERS TIMEFRAME Timeframe SELECTED DATE LOCAL TABLE BLOG STATS string stats followers start DOMAIN WPCOM open Using Credentials Account Helper User Name Like Users blog Liking Comments comment Moderate Status result MODERATE STATUS REST Result RESULT 
org.wordpress.android.ui.notifications.NotificationFragment,public Note void note 
org.wordpress.android.ui.notifications.ShareAndDismissNotificationReceiver,public void Receive Context context Intent received notification Extra NOTIFICATION Notification Manager System Service Factory SERVICE cancel send Broadcast ACTION CLOSE SYSTEM DIALOGS share SEND Type plain EXTRA TEXT String SUBJECT Flags FLAG ACTIVITY TASK start Activity 
org.wordpress.android.ui.stats.RemoteTests,Override public void Error Response Volley response STATS Rest Client returned error from mock call Message assert False true test Clicks throws Exception Stats Request Abstract Listener listener parse JSON Object Model model Equals Total Other Null Groups size first Icon http astralbodies blog paying attention automattic Name Views second https devforums apple thread make Method POST wordpress rest sites stats clicks null Month Single Item Child build your audience recent wordcamp videos experienced content creators Title Totals francisco state keynote Comments Monthly Most Active Time Authors True author Aaron Douglas Avatar gravatar Favatar Follow Data Posts most Commented Screen Sharing White screen sharing white comments Country Geoviews Countries Full United States Flag secure blavatar aaaf Flat Taiwan country Followers Email Page Pages Label user example Date Subscribed last cfbaadb followers WPCOM bcab ritu Datamodel Following Type Details Original Highest Average Week Period length Years Months Weeks Averages post Referrers Search Engines search engine Results Google Children child google feeb referrers Tags Categories Container Uncategorized category Link uncategorized networking unix tags Home home Utils page Growth Explorer with growth explorer posts Empty Asynchronous unit testing Core Xcode Insights Visitors Best Today Blog Likes Reblogs summary Popular Hour Percent insights Video Plays plays Test maplebaconyummies admin media action edit attachment Visits visit visits 
org.wordpress.android.ui.stats.StatsEvents,
org.wordpress.android.ui.stats.StatsViewHolder,public Stats View Holder view Content Linear Layout find layout content entry Text stats list cell totals chevron Image link network Network image More more void Entry Link final String Name null return Utils Empty Color Context Resources color Clickable false Listener Override UTILS Tapped starts With https wordpress make Https contains chrome else Opening Authenticated browser User Account Helper Default apache commons lang Activity open Using WPCOM Credentials Details Page Post Model current Item name Escape unescape Html Title Launcher Single Button Reader Visibility VISIBLE Popup Menu popup menu string boolean item Webview true show Chevron Icon GONE 
org.wordpress.android.ui.stats.StatsResourceVars,
org.wordpress.android.ui.stats.FollowHelper,public Follow Helper Activity activity Weak Reference void show Popup View anchor final Data Model follow null Finishing return String working Text Following unfollow Hover Menu popup Item menu Rest Call Progress else Click Listener Override boolean item Title Client Utils rest Word Press Path format sites follows Site mine delete true post STATS Enqueuing following REST request 
org.wordpress.android.ui.stats.StatsAuthorsFragment,Suppress Warnings unused public void Event Main Thread Stats Events Authors Updated event should Fragment return Group Expanded clear update Section Error null show Override String Title string stats view authors 
org.wordpress.android.ui.stats.StatsWidgetConfigureAdapter,public Stats Widget Configure Adapter Context context current Local Blog super Stable true Current Inflater Layout from Blavatar Resources Dimension Pixel Size dimen blavatar Text Color Normal color grey dark Hidden Selected Item Background Drawable translucent lighten load Sites Override Count return size long position local void Click Listener listener View Holder Create Group parent view Type item inflate layout site picker listitem false Bind holder final Record Title Name Home Domain home Image Network BLAVATAR Container else null Typeface NORMAL BOLD Alpha boolean Last divider Visibility INVISIBLE 
org.wordpress.android.ui.stats.StatsTopPostsAndPagesFragment,Suppress Warnings unused public void Event Main Thread Stats Events Posts Updated event should Fragment return Group Expanded clear Pages Model update Section Error null show Override String Title string stats view posts pages 
