"sentence","category","transformed_sentence"
"But does not showing folder size, need to fix this.","FEATURE REQUEST",""
"Everything else is great.","OTHER",""
"Too Many errors
Amazing app Deserves 5 stars, butlags on zipping of big files
Better than Es Explorer
Great file manager This is my go-to file manager.","OTHER","app zip star amaz explor manag file lag deserv error"
"It's lightweight, feature intensive, looks great, and everything I need to do I can do with this file manager.","FEATURE REQUEST","manag look file featur"
"Replacement for ES File Explorer If you're tired of all the BS that keeps getting shoveled into ES File Explorer this is the app you're looking for.","OTHER","app tire replac explor shovel look file get"
"Best app ever
Simple useful
Love it!","OTHER",""
"Nice
Nice, clean and functional
Prefect Just what I was looking for.","OTHER",""
"too gud i can easily unhide hidden files
Worth more than beta!","OTHER","unhidden hidden file betum"
"This is too great as a beta.","OTHER",""
"many features is available for free.","INFORMATION GIVING",""
"The UI, color scheme, function, all.","OTHER",""
"Until now, work fine just like one of my favorite explorer app.","INFORMATION GIVING",""
"Keep it up, Dev!","OTHER",""
"nice Nice to use this kinda file explorer
Beautifull Can u please add some animations like those in google keep.","OTHER","add beauti kinda explor pleas file anim"
"When opening and closing some folder we get animation starting and ending at same point.","OTHER",""
"Rest everything is awesome.","OTHER",""
"Very good file manager, supports root access, is open source, and looks great!","OTHER","sourc support root acc manag look file"
"Amazing
I appreciate developers to do good work
Good Helpfull
Beautiful file manager Beautiful and sleek file manager with material design.","OTHER","design develop beauti materi appreci amaz manag file"
"All basic functions are there and the usability is great.","OTHER",""
"Looks nice
Light, simple, fast and intuitive - with all the functionality I need.","OTHER",""
"Apparently I don't need that much functionality and for most cases this app suits my needs just fine.","OTHER","suit app function fine"
"Love it.","OTHER",""
"The best on market UI is pretty cool
Really good.","OTHER",""
"Open Source + Material UI = Poof!","OTHER",""
"Certainly one of the best, no bloat file manager.","OTHER",""
"The Material Design just is an icing on the cake.","OTHER",""
"Love it
Awesome
Scroll issue When I try to use the scroll bar (instead of swiping my fingers) the transition is not good, it just flickers.","OTHER","swipe transit scroll finger issu tri love flicker bar"
"Simple, beautiful and supports SMB shares!","OTHER","support sob beauti share"
"I was looking for a file manager I can use to access to SMB shares.","OTHER","share acc sob manag look file"
"All  other alternatives are either bloated with useless features like application managers, file cleaners or download monitors, or they don't have streaming from smb shares.","OTHER","share applic featur manag file cleaner stream monitor bloat download altern"
"Amaze is just what I want and nothing more.","OTHER",""
"Bonus points for open source.","OTHER",""
"Wonderful!","OTHER",""
"I like it Nice features easy to use
Awesome Cool better than all the other.","OTHER",""
"Love it extremely awesome the best I've seen in my life.","OTHER","love awesom life seen"
"Keep up the good work team amaze.","OTHER",""
"And keep amazing others
Being Great The idea is great but the app is not perfect because it's not complete yet.","INFORMATION GIVING",""
"But it's being perfect with each update.","OTHER",""
"So 5 star in advanced.","OTHER",""
"Nice
Solid replacement to the others I used to use regularly.","OTHER",""
"Nice matching ui!","OTHER",""
"Thanks for the hard work on this.","OTHER",""
"Dev, a chance to check md5 in .zip properties in future?","OTHER","check properti zip chanc"
".1/17 looks nice  :)
It's.","OTHER",""
"Amaze-zazing.","OTHER",""
"Beautiful Easily the most beautiful file manager which does the job well!","OTHER",""
"Amazing Experience, out of all tried and tested FM's
Beautiful and Functional I like this fill manager but I'm not a fan of the new launcher icon.","OTHER","experi beauti amaz icon launcher manag fan fill"
"Love the UI The only file manager who really embraces all the capabilities of Material Design.","OTHER","design materi embrac love manag capabl"
"•∆• AFTER NEWEST UPDATE •∆• App force closed when I select Images in the left-pane tab.","OTHER","app imag select close tab forc pane"
"√Just directly emailed the dev, seems like now the bug is solved.","INFORMATION GIVING",""
"I'm amazed by how fast their response :D keep up the good work, cheers!","OTHER",""
"Hannan OK
Google Nexus 6 Yeah Bro Its Superb
amazing This is 5 stars, specially the FTP feature.","OTHER","oogl yeah featur star bro amaz hannan nexu superb"
"On the Nexus 6 The internal folder, (sd card), does not show up unless I search for it.","PROBLEM DISCOVERY","search nexu folder card"
"If I click on the bookmark for storage it doesn't show up but if I go from root to storage, emulated.","PROBLEM DISCOVERY","root click bookmark storag"
"Good
Great App Fully customizable, yet powerful and easy to use
Simply beautiful Material look sleek indeed, and faster loading.","OTHER","look materi app load"
"Bookmark instead of clicking it twice, maybe better if implemented on side menu.","OTHER","menu click implement bookmark"
"Shows great promise
A great Open Source replacement for Astro file manager!","OTHER","sourc promis replac astro manag file"
"So many good features and things like zip files just work as expected.","OTHER","expect zip file featur"
"No adds , clean,  beautiful
Usefull for opening unusual file type
Awesome file manager","OTHER","type add awesom manag file"
"Truly Amazing!","OTHER",""
"3.3.0 a much needed update!","OTHER",""
"Finally!!","OTHER",""
"Replaces ES File manager
Slick Very slick and easy app.","OTHER",""
"Very well implemented the Material Design.","OTHER",""
"NYC one
Favorite file manager for lollipop A beautiful modern feel and a solid foundation with plenty of customization and features.","OTHER","foundat custom featur plenti lollipop manag file feel"
"Yep this file manager is my favorite and I have tried just about all of them.","OTHER","yep manag tri file"
"I appreciate your hard work to make such a great app
Awesome Alternative to ES File Explorer Sweetly Materialised.","OTHER","materi explor appreci altern"
"Very clean and minimalistic design.","OTHER",""
"But what I am missing in it is the use of gestures.","FEATURE REQUEST",""
"Hope to see the same in the future updates
A 'dark theme' option, Thank you so much.","OTHER","hope updat theme option thank futur"
"Very well done.","OTHER",""
"Practical and beautiful.","OTHER",""
"Great
Were used this app
Light and clean with no ads.","OTHER",""
"Great work!","OTHER",""
"This app plus ghost commander can beat non-free ones.","OTHER",""
"nice apps
No ads.","OTHER",""
"awesome After searching through lots of file managers, it looks like the best.","OTHER","lot manag search look file"
"Ad free and simple.","OTHER",""
"Loved it.","OTHER",""
"Simple, lightweight, and quick.","OTHER",""
"A perfectly capable file explorer for most users.","OTHER",""
"This is a good alternative to the native file explorer bundled with Nougat.","OTHER","nougat explor altern file bundl"
"If you're looking for something more feature-rich, give FX Explorer or Solid Explorer a try, in addition to Amaze.","OTHER","addit amaz explor look tri"
"Each of which are wonderful android apps to use and I cannot recommend them more.","PROBLEM DISCOVERY",""
"Works for me So far I like it.I think it's very good for a beta app!","OTHER",""
"Excellent no ads,no purchases simple best  and great UI
I think the best file manager Only thing I would like to be added is to have more options in the app manager (such as ""sort by"", and size), and the ""sort by"" option to be more easily accessible (but that might be just me being used to find it in a different place)
Sooooooo simple, yet complete!!!","FEATURE REQUEST","purchas app sort size manag option file sourdough simpl"
"I love it.","OTHER",""
"Just amazing But.","OTHER",""
"Could you please show the total size of folders (like in solid explorer)?","FEATURE REQUEST","size explor pleas folder"
"You could add an option for it in the settings
I really like the simple and clean design of this file manager.","FEATURE REQUEST","add design manag option file set simpl"
"Its light, fast, and only have a needed function of file manager without some bloat function that you don't need on a file manager apps.","OTHER","fast manag pap file function bloat"
"Noice Best out there, does its job, well laid out and material design 🗂
Beautiful app Lot of functionality!","OTHER","lot app design laid job function"
"Make a 1€ paid version guys!","OTHER",""
"Beautiful and Simple Design Great file manager, I recommend it
Perfect material design
Most beautiful and lightweight file browser ever
Just amazing.","OTHER","browser design beauti amaz manag file recommend"
"So easy to use; simple, no-nonsense interface without any ads.","OTHER",""
"I could even use it with root access in my Tab S when no other file explorer (even ES File Explorer Pro) could.","INFORMATION GIVING","acc tab explor pro file"
"Customizable, ad free, free works really well.","OTHER",""
"Awesome job devs!","OTHER",""
"Tranferring files I am facing problem when transferring files from the internal storage to a pendrive after the newest update
nice
Nice app It looks just like HTC file manger just with a NICE ui overhaul.","OTHER","app transfer face overhaul look drive file storag manger"
"I will use thIS as my only file explorer as I just found root settings.","INFORMATION GIVING","root explor found set"
"Amazing with no addons.I have linked this to my google +
Good alternative to ES File Explorer that has turned into malware
Uwesome
Best file manager ever.","OTHER","amaz explor manag file link altern"
"Built-in manager in sony sucks, but when I fpond this one, I was amazed :)
Still the best material designed file manager I've tested but I don't like the fact that delete is now buried within a menu rather than at the top of the screen when files are selected.","PROBLEM DISCOVERY","top fond menu design built select delet materi buri amaz screen suck test manag file"
"Exceeding expectations Best so far
Simple to use and there are no complicated interface issues with this app.","PROBLEM DISCOVERY","exceed interfac app issu expect"
"It is now my default file browser
Simple file manager with intuitive design and modern UI.","OTHER","browser design manag file default simpl"
"My new goto file manager","OTHER",""
"Never ceases to amaze me Just when I think that it can't get any better, it brings along an update which improves the experience.","PROBLEM DISCOVERY","experi updat ceas bring amaz improv"
"Just love it.","INFORMATION GIVING",""
"Best file manager I have used by far, and it's totally free with no ads!","OTHER",""
"It is highly customisable with being overwhelming, with logical settings and a simple to use nature.","OTHER","overwhelm natur set simpl"
"The app also has great theme capability which allows you easily to change the colours of the app to suit your preference.","OTHER","chang suit app allow color theme capabl prefer"
"This file manager easily stacks up to paid options, and I would happily pay for it!","OTHER","paid stack manag option file pay"
"Dev; please don't change it, it's taken me so long to find this!","INFORMATION GIVING",""
":D
Excelente
Great Great but 2 pane view for landscape would be even more awesome
Awesome!","FEATURE REQUEST",""
"Really great design.","OTHER",""
"Would be nice to see a support for cloud storage.","FEATURE REQUEST",""
"Give ES file explorer some competition.","OTHER",""
"Great file manager.","OTHER",""
"It has all of the features other browsers charge for, great theme customization, and best of all it's free and open source.","OTHER","browser sourc custom charg featur"
"Great app, sadly smb does not work, has no other network connections.","PROBLEM DISCOVERY","network sob app connect"
"Fantastic File Manager!","OTHER",""
"Superb UI and material design with themes, Root exploration and most definitely easy to use and ad free.","OTHER","design root theme explor superb"
"Functional and aesthetic A fully functional, well designed file manager with features that rival it's top competitors but not bloated like others.","OTHER","design featur manag file rival bloat competitor"
"The app's frequently updated and the code is transparent and open source via github.","OTHER","sourc updat hub git code pap"
"I am a beautiful person.","OTHER",""
"Amazing!","OTHER",""
"Really love it with te availability of network connection to PCs.","OTHER","love connect network avail"
"Having some issues with the app on the pixel 2 XL.","OTHER",""
"Keeps on force closing when I open a file that it recently extracted.","OTHER","close forc file extract"
"Sometimes force closes when opening a file (like  a picture ) and returning back to the app.","OTHER","app close forc file pictur return"
"Can't tell if deletion or extraction  was a success.","PROBLEM DISCOVERY","succ delet extract tell"
"There's no progress bar or any indication.","OTHER",""
"Have to reopen the app.","OTHER",""
"FAST, does everything I could want, open source, even access network file shares!","OTHER","sourc acc share network file"
"Super smooth and works great.","OTHER",""
"Used to use complicated multipane  file managers to move stuff around but once I for used to the simple interface I prefer this.","OTHER","interfac pane manag file multu prefer move stuff"
"No nonsense file manager.","OTHER",""
"All in one blast.","OTHER",""
"App is very nice.but also add Apk Manager above App manager .and .extracting to desired location.","OTHER","add desir app locat extract manag"
"Material design Goog
awesome update however there is a bug in add shortcut option.plz fix it.","PROBLEM DISCOVERY","fix shortcut design updat materi bug option"
"Best material design file manager
please don't spoil this project like es explorer.","OTHER","design materi explor manag pleas file project spoil"
"Keep it simple
Good!","OTHER",""
"Easy to use and feature rich
Look amazing Everything works.","OTHER",""
"I very much like the clean, intuitive, simple navigation of this file manager.","OTHER",""
"I one issue I have and that is I am trying to figure out how to give write access to the external 128GB MicroSD card.","INFORMATION SEEKING","figur issu micro tri acc card"
"When I try to copy/paste, or cut/paste objects from one location to the other I am being told I need to choose the root folder of the resource (external MicroSD card) and give it write permissions.","INFORMATION GIVING","resourc locat permiss card root micro copi tri choos folder told past cut object"
"But, no where is it clear as to how to do this.","INFORMATION SEEKING",""
"At least it is not obvious how to do so.","INFORMATION SEEKING",""
"One feature  I would like to see is, the ability to copy/cut/paste files from my home network's computer, NAS, etc., over WiFi to my Android device as well.","OTHER","wife network comput past featur copi home devic file abil etc cut"
"Other then that, wonderful and simple file manager.","OTHER",""
"A big thank you.","OTHER",""
"Amazing There is only one function that I miss.","OTHER",""
"I cannot make shortcuts  to place them on home screen.","PROBLEM DISCOVERY",""
"Simple.","OTHER",""
"Efficient.","OTHER",""
"Very nice!!","OTHER",""
"OPEN SOURCE!!","OTHER",""
"Nicely surprised @ this file browser!","OTHER",""
"Active application running @37.5mb, not bad.","OTHER",""
"Very, very clean UI.","OTHER",""
"Folder creation works.","OTHER",""
"**dev.","OTHER",""
"Please add networked access to PC.","OTHER",""
"**dev.","OTHER",""
"Please add option to allow changing the directory location for main menu items (DCIM, download, movies, music, videos and pictures).","FEATURE REQUEST","chang video add menu locat allow movi music dim pleas option directori item pictur download"
"OPEN SOURCE app!!","OTHER",""
"****No access to /data or others, even with root access and a app restart.","OTHER",""
"Good app
Need this 1)Besides copy and delete, add 'cut' button too.","FEATURE REQUEST","add app copi delet button besid cut"
"2) Add a Recycle Bin so that deleted files can be retrieved.","OTHER","add bin retriev file recycl"
"This app is light and bloatware free and I loved this.","OTHER","ware love app bloat"
"Function 5/5.","OTHER",""
"UX 5/5.","OTHER",""
"I am here just want to support open-source app.","OTHER",""
"I love it!!!","OTHER",""
"After the downfall of ES File Manager, Amaze rises from the ashes like a phoenix.","OTHER","rise phoenix amaz downfal ash manag file"
"Just what I was looking for !","OTHER",""
"A simple effective interface in lollipop style.","OTHER",""
"The other file managers try to do too much.","OTHER",""
"Wonderful
Wonderful Excellent design and easy navigation.","OTHER",""
"Few things would make it complete like built in extraction of zip,rar files.","OTHER","arr zip built file extract"
"Perfect (Y)
Simply Better","OTHER",""
"Plzzz change ur icon otherwise app is superb.","OTHER","chang app icon pizazz"
"Just love material design
One of the best file managers I've used on Android, even in its beta stage.","OTHER","design betum stage materi love manag file"
"The design is clean and functional, and the app is very well-designed.","OTHER",""
"The fact that it's open source is a great bonus, too.","OTHER",""
"Piece of perfection!","OTHER",""
"Amazing!","OTHER",""
"The best I find this to be the best file manager for android, i used other apps but this is the best and it is free.","OTHER","android manag pap file"
"Well I love app and rate it 5 star, but uninstalling for now, looking for file manager with in built text editor and image viewer.","OTHER","text rate app imag star editor viewer love look manag file instal"
"Will check back later
Cleanest open source file browser Was looking for an open source ES File Explorer replacement.","OTHER","browser sourc replac explor look file check"
"This was the best one i could find.","OTHER",""
"I really like the design and do not miss any features.","OTHER",""
"Thanks for creating this beautiful app!","OTHER",""
"Light and beautiful!","OTHER",""
"Simple snd clean
Liked it Feature rich, Adfree, Low on resorces.","OTHER","resourc featur like simpl low"
"Good replacement for ES File explorer
Nice app Its simple and very cool
Really amazing
Simple UI / Open Source / No Ads
The best file manager with app manager to backup your apps
The best file manager, paid or free.","OTHER","sourc app paid replac amaz explor manag pap file backup simpl"
"Has tons of features.","OTHER",""
"It supports file encryption, USB OTG (USB On The Go), root access, zip compression, and FTP.","INFORMATION GIVING","support tog compress encrypt acc sub zip"
"It has tons of features, and is free and open source.","OTHER",""
"Xiaomi mi3 Loved it,keep improving it.","OTHER",""
"Love it!","OTHER",""
"I yse this file manager just because it fits my Android L Material Design theme.","INFORMATION GIVING","design materi theme manag file fit"
"Seriously.","OTHER",""
"Still a long way to go Incredible app with lots of potential, needs to improve in areas like copying, moving files.","FEATURE REQUEST","lot app copi file improv move"
"It can be more interactive during file transfer, copying, moving (please have a look at ASUS file manager).","FEATURE REQUEST","transfer copi look pleas file manag move"
"In Android 5.1 lollipop sometimes moving multiple files makes them disappear.","OTHER","move lollipop disappear file"
"Please ensure stability especially while moving, copying files.","OTHER","copi stabil pleas file move ensur"
"Please provide sidebar with quick navigation,  means you can slide the bar very fast and release it to the alphabet you want, like you do in contacts app.","OTHER","mean app releas alphabet provid pleas navig slide contact bar sidebar"
"Super fast A pleasure to use.","OTHER",""
"Need cloud support with file transfer, please.","FEATURE REQUEST","transfer support pleas cloud file"
"Lightweight, functional and ad-free.","OTHER",""
"UI size and layout isn't very customizable, but that isn't an issue for me.","PROBLEM DISCOVERY",""
"I'm amazed by Amaze!","OTHER",""
"Perhaps the fastest and most good looking file manager for android with lots of features.","OTHER","lot featur android manag look file"
"Just wish the developers rename the name to simply Amaze.","INFORMATION GIVING","develop name renam amaz wish"
"The current name ""Amaze File Manager"" is too long and doesn't look good on my minimalist screen
I don't usually write reviews but this has been the most solid and good looking file browser.","OTHER","browser minimalist review screen look manag file name"
"It even comes with an FTP server for large file transfers!","OTHER",""
"Very good app.","OTHER",""
"It's name should not be containing ""Amaze"".","OTHER",""
"As it should be standard.","OTHER",""
"Nice app with dark theme.","OTHER",""
"+ for open source!","OTHER",""
"Update: All good now!","OTHER",""
"Best among the bests Awesome.","OTHER",""
"(y)
Fantastic file manager.","OTHER",""
"Super job.","OTHER",""
"Keep it up.","OTHER",""
"✌🙌
Nice Loveit
Looks great.","OTHER",""
"It does crash every now and then though
Great design but.","OTHER",""
"It crashes very often but has potential to be great
Best file manager!","PROBLEM DISCOVERY",""
"After trying a lot of different file managers, this one seems to be the best.","OTHER","lot manag tri file"
"It's easy to use and it looks good and it has full root capabilities.","OTHER",""
"What more could you ask for?","OTHER",""
"UI can be better but else way better than lot of paid file managers.","OTHER","lot manag paid file"
"Open source FTW!","OTHER",""
"Great file manager I am too much invested in ES File explorer, so can't really change that.","PROBLEM DISCOVERY","chang invest explor manag file"
"But hey, you guys have made a beautiful and functional file manager!Edit: Back to amaze again!","INFORMATION GIVING","edit hey amaz guy manag file"
"Supper Happy I'm using a nexus 7 tablet and this app works great!","OTHER","supper app tablet use"
"I can access the files I need on an external flash drive with ease and without constant irritating pop-ups slowing this old device down.","OTHER","eas slow irrit devic pop acc flash drive file"
"The number 1 file manager for me
Perfect!","OTHER",""
"Was using es file Explorer.","OTHER",""
"It consumed a lot of ram and was always on in background.","OTHER","ram lot consum background"
"This is a perfect replacement.","OTHER",""
"I just want to ask the developer to incorporate features to read and edit pdf, ppt, docx file formats.","INFORMATION SEEKING","edit featur develop format read doc file incorpor"
"It would be greatly appreciated.","OTHER",""
"Thanks
Nice app Like
Great file manager Well hats off to the dev.","OTHER","app hat manag file thank"
"But I would like to see some ui improvements in it.","FEATURE REQUEST",""
"Some more skins with some good folder icons.","OTHER",""
"But overall a very nice app
Superb I will give more than 5 stars,( but unfortunately the maximum is 5).","OTHER","superb star app maximum"
"But can you fix the problem with backup location.","PROBLEM DISCOVERY",""
"Good App Beautiful interface nice look bery responsive
Ad free!","OTHER",""
"Connects to smb!","OTHER",""
"It does the thing!","OTHER",""
"Awesome App This app is great.","OTHER",""
"The best thing is it is free, open source and no ads
Awesome Best file manager on the play store.","OTHER","sourc manag store file play"
"The Best Best file manager I have used
Beautiful.","OTHER",""
"Minimalistic.","OTHER",""
"Laconic.","OTHER",""
"Solid.","OTHER",""
"Best file explorer.","OTHER",""
"Awesome work, loving the material UI.","OTHER",""
"Only thing is the way it handles the USB otg .","OTHER",""
"The bookmark doesn't open up the USB drive.","OTHER",""
"Other than that it's the best.","OTHER",""
"Keep up the good work.","OTHER",""
"Well done man.","OTHER",""
"!","OTHER",""
"Nehraji u have done it.","OTHER",""
"Just like normal file manager but it rocks bcoz of its material UI.","OTHER","cozi materi rock manag file"
"There is one problem ive seen.","OTHER",""
"I'll mail u. ;) keep it up.","OTHER",""
"*/edited/* well done arpit (y).","OTHER",""
"!!!","OTHER",""
"although want to mention this especially for newbie kitkat users.","OTHER",""
"""You can't do write operations by using any of 3rd party app.","PROBLEM DISCOVERY","app oper parti use"
"This not a problem or any bug!","OTHER",""
"this is kind of limitation made by google android dev itself.","OTHER",""
"Want to overcome?","OTHER",""
"Root ur device any install any sdcard permission change wala app"" ;)
Good file manager
But.","OTHER","chang permiss root devic manag file card"
"Opening bookmarks.","OTHER",""
"!","OTHER",""
"Best open source file manager.","OTHER",""
"Super Nice
Finally I got the replacement for es file explorer.I am really satisfied with the simplicity of the app.","OTHER","simplic app replac explor file"
"Great work devs.","OTHER",""
"Please add an option to hide system apps in app manager window.","OTHER","add hide app system window manag pap pleas option"
"Amazing file manager Really well made and functional, good and simple design, just right amount of features.","OTHER","amount design featur amaz manag file"
"Root explorer is working fine and has helped me debloat my phone.","OTHER","root help explor phone"
"App manager is having some minor problems, it only updates application status after reboot.","PROBLEM DISCOVERY","app applic updat manag reboot statu"
"Otherwise no problems, I would give you 10/5 stars if I could.","OTHER",""
"I'm using f-droid version, installed it over Google play only to leave this review.","OTHER","use version review leav instal play"
"Does everything I need Looks great.","OTHER",""
"Clean, material, and themes.","OTHER",""
"Cop, paste, search etc.","OTHER","etc past search cop"
"Movies, pictures, download, music, all management and loads more.","OTHER","movi music manag pictur load"
"Top app!","OTHER",""
"Great I was very loyal to other browsers till I found this!","OTHER",""
"Very fast, smooth, and tons of options!","OTHER",""
"One of my top apps.","OTHER",""
"Excellent.","OTHER",""
"Thanks
Would love more information density or more items per screen
Copying from SMB doesn't work, finishes instantly but leaves no file.","PROBLEM DISCOVERY","leaf finish copi screen love sob file item inform densiti thank"
"So far so good Just update grid view
Good But better if don't ask for identity permission.","INFORMATION GIVING",""
"Like!","OTHER",""
"Amaze an Amazing file manager
awesome!!","OTHER",""
"Beautiful
Ftp server is awesome!","OTHER",""
"Excelente Un gran reemplazo para el es file explorer excelente trabajo
Perfect.","OTHER","para reemploy trabo explor file ran perfect"
"!","OTHER",""
"THUMBNAILS SHOULD BE SQUARE TAB S 8.4  Android 6.0.1
Defenetly good I've just read the article on xda , and I was like why not.","OTHER","thumbnail read android articl"
"Now I'm glad I have given this app a chance it's amazing!","OTHER","glad amaz app chanc"
"Nice app
The best
Simply awesome
Feature requests!","OTHER",""
"Can we have support for accessing the phone by ftp and accessing remote FTP/SFTP servers?","OTHER","support sftp phone access server"
"No word to say Very unique & smooth .","OTHER",""
"thnxs  for great app mr maker
Needs little improvements The app is nice, but it needs some improvements like: 1.","FEATURE REQUEST","improv thin app maker"
"The top part might be of a lesser height.","OTHER",""
"Right now I feel it covers too much of space.","OTHER",""
"2.","OTHER",""
"Darker status bar (no problem with the existing implementation, but it would look better with a darker status bar).","OTHER","exist darker implement look statu bar"
"Wonderful!","OTHER",""
"Very nice fluid design will really appreciate if u all could add a note viewer and editor
Free and Open Source Finally.","FEATURE REQUEST","sourc add note design editor appreci fluid viewer"
"a small, simple, free file manager that has all the functionality you need and also looks nice!","OTHER","look function manag file"
"Thanks for making this Open Source!","OTHER",""
"Excellent!","OTHER",""
"Open, free & easy.","OTHER",""
"Awesome Great material file explorer without ads and all the features you (probably), need.","OTHER","materi explor file featur"
"Two thumbs up.","OTHER",""
"Very good file manager and love the Skins
Please provide an option to disable pull to refresh The file manager that convinced me in both UI/UX.","FEATURE REQUEST","disabl convinc love provid manag pleas file option skin pull refresh"
"But please do provide an option to disable pull to refresh, Everytime I pull down intending to reach top of the list fast it refreshes.","OTHER","top disabl time fast intend provid pleas option list reach pull refresh"
"And also an option to reduce the action bar width.","OTHER","action width reduc option bar"
"Veeeeeryyyyy goooooood","OTHER",""
"Best File Manager Hands-Down I've tried most, and thus is the best File Manager that I have ever found.","OTHER","hand manag tri file found"
"Straightforward, easy, and simple to use.","OTHER",""
"It even gives you thumbnails of images and programs.","OTHER","thumbnail gife program imag"
"Don't lose time with other file manager This software is so effective.Because there is stupid ads.It is so simple to use it.I think  you should try it .","FEATURE REQUEST","lose time tri softwar manag file"
"You never regret.","OTHER",""
"Simple but powerful Just what you want in an explorer, simple but effective.","OTHER",""
"Would love to be able to select a directory and have the application recursively add the contents to my Google Drive (or other) via ""Share"".","FEATURE REQUEST","add share applic select love drive directori content"
"Thanks devs, I've been after a simple explorer like this forever.","OTHER","deb forev explor thank"
"Useful, free, awesome.","OTHER",""
"Great job.","OTHER",""
"App Very user friendly and very useful.","OTHER",""
"Perfect!","OTHER",""
"I can view any item, not just the ""modified last"".","OTHER",""
"FTP is cool.","OTHER",""
"Crypto and compression woohoo!","OTHER",""
"Lightweight and without ads.","OTHER",""
"Amazing file manager.","OTHER",""
"Superb !!","OTHER",""
"Great alternative to es explorer bloat adware.","OTHER",""
"Thx!","OTHER",""
"رائع جدًا
Amazing file manager Really well made and functional, good and simple design, just right amount of features.","OTHER","amount design featur amaz manag file"
"Root explorer is working fine and has helped me debloat my phone.","OTHER","root help explor phone"
"App manager is having some minor problems, it only updates application status after reboot.","PROBLEM DISCOVERY","app applic updat manag reboot statu"
"Otherwise no problems, I would give you 10/5 stars if I could.","OTHER",""
"I'm using f-droid version, installed it over Google play only to leave this review.","OTHER","use version review leav instal play"
"Loving it Woww
Simple and beautiful.","OTHER",""
"Very good Perfect so far for my usage.","OTHER",""
"Good customization.","OTHER",""
"Perfect design.","OTHER",""
"No issues.","OTHER",""
"Might even replace Root Explorer that I've been using for years.","OTHER","root explor replac use"
"And that means something!","OTHER",""
"New favourite file manager I prefer this over other file managers as its clean and simple.","OTHER","prefer manag simpl file clean"
"Very good job
Awesome piece of kit!","OTHER",""
"روووعه اروع مدير ملفات
Best file manager Really good, only missing thumbnail's for images and video's
Good job!","FEATURE REQUEST","video imag thumbnail job manag file miss"
"Material design looks awesome here, pretty solid explorer been using it for a month or so without fcs or troubles whatsoever
Excellent
Thanks Developers Just awesome.","OTHER","awesom design thank use develop explor look troubl month"
"Loved the meterial design.","OTHER",""
"Simple and good Android needs more apps like this.","FEATURE REQUEST",""
"Simple, beautiful and no unnecessary ads.","OTHER",""
"amazing
Super Amazing performance.","OTHER",""
"Better than es
Great looking and functional!","OTHER",""
"The best!","OTHER",""
"I gave it 5stars because it is so understandable, easy even for a noob like me.","OTHER",""
"Love this app
Awesome Replaced my other file managers!","OTHER","love manag awesom replac file"
"Only thing missing would be a progress bar that can be minimized when you copy or move a file.","OTHER","copi minim progress file move miss bar"
"So you have an idea of how long it'll take.","OTHER",""
"Joedaar
La mia preferita.","OTHER",""
"Funziona bene, appare bella ed è veloce!","OTHER",""
"Best of its kind(free ones) Customization at its best
Awesome Has almost all the features of es without the bloating.","OTHER","awesom custom featur bloat"
