"original_sentence","transformed_sentence","topic"
"I could control the brightness without needing to go to the settings and I also can pinpoint the exact page due to the page number above.","control set brightn pinpoint page",1
"I only gave 4 stars because it can't open rar files.","",0
"it should load screen rotation options from the phone's settings, I was trying to read a stupid fufffffing book, but I can't!!","set phone read load rotat option gruf tri book",0
"it keeps rotating, and u can't switch it off in app settings, 10 mils of idiots","set switch idiot rotat mil",1
"it crashes every time I open it","",0
"This used to be my favourite app but it's constantly crashing every time I turn a page.","app time crash page",0
"The app keeps closing itself after reading 20-30 pages, fix this please!","fix page read pleas close",0
"Since it is free, I can't ask for much.","",0
"As soon as I get really into what I'm reading, the app crashes.","",0
"And doesn't save where it crashed.","",0
"Once I flip to the right page it crashes again and again.","",0
"Needs graphics improvement","",0
"But if you know where to look, that shouldn't be an issue.","",0
"I use the HTC one xl with android version 4.2 and I can't seem to find the TTS option on my cool reader,please help,anyone.","help reader option version pleas",0
"I need this to read ebooo text","",0
"Just 1 star less because it don't support PDF and need another reader for it.","",0
"For me, this isn't a problem as I use Calibre Companion as my library app.","",0
"Can't find any of the books I want!","",0
"But crashes every few minutes when trying to actually read the book, which is incredibly frustrating.","minut read tri crash book",0
"Would be great if the read aloud would read italics in a sentence rather than jump to the next sentence as it can get a little hard to follow.","sentenc ital aloud jump follow read",1
"Using nexus 7, after update to new android the app started to crash really often.","nexu app use android start crash updat",0
"Can't read anymore","",0
"Although it mostly works, the is an annoying problem when encountering italic and/or bold fonted words.","bold word annoy encount front",1
"All you need to do is uncheck the 'Enabled Document Internal Styles' in the 'css' menu in the settings.","style document menu set uncheck",4
"You also need to change the text in 'Title bar option' below the other options in the tab.","text titl tab chang bar option",1
"Report bug:  The app is starting to crash since yesterday ( 23rd Feb 2015  ) while trying to add highlighted text.","text app yesterday add start crash report tri highlight bug",0
"How could it miss pdf file system","",0
"I wish it could read more formats especially pdf.","",0
"excellent, can't ask more for free.","",0
"Need to learn how to manage documents from MoonReader.","reader moon document manag learn",0
"I don't think you need to know my caller identity however.","",0
"Perfectly works with any devices, it's comfortable to read and to adjust brightness and moreover there is beautiful amination","anim moreov adjust read brightn devic",1
"My favorite reader.but it wont save current settings after exiting the reader.please fix it.","save exit fix reader set pleas",0
"However since upgrading my N7/12 to Lollipop (which I hate BTW) I've been having intermittent lock-ups where it will freeze on a page.","upgrad lollipop freez lock page hate",0
"Then I have to FC and restart it.","",0
"At the same time the top menu bar is misaligned (up too high) and the progress bar is missing.","menu miss progress bar time misalign",1
"I have some epub books which would not work no matter what setting used, the font is dark on dark, impossible to read.","pub set read font book matter",0
"Not so good on 4.4 as it crashes randomly and when restarted puts you back to where you last opened it","",0
"Using it a few years and never had a problem.","",0
"I'd like to be able to turn off internal styles by default, that's the only improvement I can think of.","",0
"Can you add a quick dictionary on the app itself should be amazing then","app add amaz dictionari",0
"Can't see what real page I'm on in cool reader so I can't note the page for my study essay.","reader studi essay page",0
"Can't search in Gutenberg archive (can you in any of them?)","",0
"I can't  change font color.","",0
"Dark mode doesn't  work correct.","",0
"Also interface and navigation should be changed to something more user friendly.","",0
"2015/01/30: Update - it is very glitchy now, moved to Moon Reader which lacks a lot of functions of Cool Reader.","lack moon reader move function updat lot",0
"It constantly crashes when trying to change page.","chang tri crash page",0
"I had no issues before updating my tablet to android 5.0 Please fix","issu fix android tablet updat pleas",0
"Too bad you can't read pdf with this,uninstalling","",0
"I just wish there was a way to sync the two.","",0
"Best so far but doesn't read pdf files.fix this soon plz.","",0
"Good reader but can you add PDF to formats supported?","reader add support format",0
"Can't read Korean character on android 4.4.","",0
"It's a great app, but when I upgraded my tablet to 5.0.2, it crashes all the time","app upgrad time crash tablet",0
"It is unable to read or detect any type of file from phone.","file type read phone detect",0
"So, it would be real cool if the app could somehow synchronize the latest position in the text I've left, with my other devices.","text synchron posit somehow app left devic",0
"I wish it could sync with my offline dictionary.","wish sync dictionari line",1
"Why cant this app open pdf books","",0
"Read option is not working properly.","",0
"Please fix this issue.","",0
"I can't figure this out!","",0
"If a reader can't read all the formats, then what's the point having all these cool tools, I would prefer to have singular app which supports all formats","tool format app prefer support reader read",0
"Did have some crash issues, but now fixed.","",0
"Hope you could fix it  and make it  to support RTL","",0
"Please do something about this","",0
"When you try to load anything from online libraries, you get 404 or 500 errors.","librari line tri load error",0
"And even when something loads, navigating through it freezes the app.","freez load navig app",0
"I've tried fora dictionary from playstore  but it won't work","dictionari tri play store",0
"Can't wait for a Windows 8.1 version","",0
"Could not ask for more!","",0
"Good reader but still crashes often.have to bookmark often because of crashes.","",0
"This is the worst app if you don't know the series or what the U.R.L. is you can't get  your book.","",0
"Your app crashes every few minutes.","",0
"Please add PDF reader","",0
"I have been downloading a lot of apps that can open a file and all of it failed me I wasted a lot of data and I found this app and saves the day I was close to deleting those files which were impt to me but I had no choice coz its useless anyway.","file fail wast save app day datum pap choic delet cox imp lot download found",0
"Why can't i change the text color?","",0
"But, the only disappointment is that it can not open pdf files.","",0
"Unfortunately lately the app crashes a lot on my s3, while reading fb2 files.","file app read crash lot",0
"but it crashes on my asus tablet,fix would be wery welcome.","welcom fix crash tablet",0
"Best small size ebook reader ever used.I just found one problem.The contro panel for read Aloud is too big.The volume and Rat control bar occupy unnecessary spaces.If possible  please hide them inside a optional button and make the control panel smaller (Height).","control panel aloud found hide reader occupi bar rat space height pleas size button book volum",1
"Seem that it is not working  every time I use need to set font size","",0
"keeps crashing!","",0
"My online library doesn't work.","",0
"I installed this because it says it will open .rtf files but it said ""can't open""!","",0
"Also in read aloud it will miss random sentences and paragraphs.","",0
"Also crashed system on first start.","",0
"Only problem: it crashes regularly on .doc documents (older ms word format).","word doc document crash format",0
"New comment: THE APPLICATION IS STILL CRASHING.","",0
"I am very very disappointed with the read aloud function of this app, it's just skipping words, sometimes the whole paragraphs, please fix it as soon as possible","app fix word paragraph function pleas",0
"It's my favourite reader but as for the online catalogues, why can't I see all books but only scroll some of the books?","reader uncatalogu scroll line book",0
"And a search function would be great, to be able to search for the book online and such.","search function line book",0
"It would be better if unloading .pdf files.","",0
"it would be great if it reads pdg file too.","",0
"But 1 problem that annoying me is orientation option does not work at all!","",0
"But still doesnt work.","",0
"Extremely intuitive hidden brightness slider controlled by sliding your finger up & down the left side of the screen; wish the rest of my phone operated the same outside of the app.","control hidden app rest slider wish phone brightn oper screen slide finger outsid",1
"Put a bit of time into learning and personalizing and you'll wonder why all your other apps don't work the same.","person pap time wonder learn bit",0
"The program crashes at random intervals, frequently enough to annoy but not often enough to call it unstable Still most configurable ereader.","call reader annoy random crash interv program",0
"Wish it were as stable as the pre 2/14 version.","",0
"I especially like having complete control of my library in a normal file structure.","control structur librari file",0
"My issue is that I noticed the other day that while in read aloud, it ships large chunks of paragraphs.","issu aloud notic day paragraph ship chunk",1
"Fix that and it's a 5 star app in my books.","app star fix book",0
"With the new fixes,  i can't evan see the  Mobi books that were working fine a year ago.","fix mob fine book",0
"Am i missing something?","",0
"Guys i had the same crashing problem when i updated the last update.","",0
"But I cannot give more than 2 stars due to this short-coming.","",0
"I was feeling very down when I thought I wouldn't be able to use this.","",0
"I like it but it now often crashes.","",0
"It was very good, 5 stars, but today, after the update, it cannot start at all.","",0
"Please fix as I cannot open app at all","",0
"Now can not even open.","",0
"Fix it!","",0
"Please fix the problem!","",0
"Can't live without this app","",0
"Not working anymore","",0
"Have loved this app for years but it is now crashing on startup.","app love crash startup",0
"Please fix!","",0
"Have loved this app for years now but the new updated version keeps on crash please fix this","love app fix crash version pleas",0
"After Updating App, it's crashing continuously.","",0
"Not sure what's going on, but it crashes each time I try to open it.","",0
"My favourite reading app, but after the latest update it crashes every time I try and load it.","app read time crash load updat tri",0
"This app need to support prc filetype, only then will i give it 5 stars","app star type file support",0
"Can't read pdf files","",0
"I wish I could give it five stars but it has some problems that need to be fixed.","",0
"And I wish there was a quicker way to zoom fonts.","wish quicker font zoom",1
"Perhaps you could offer a ""sync day/night"" function that retains all settings except for font and background color?","color retain night day set offer background font function",1
"It does not interprate line breaks correctly.","",0
"add pdf format please ,, it would be great","",0
"Opds prob can't open online catalogue","uncatalogu prob line pod",0
"I can't find how to change footnote font size: the menu for footnotes doesn't seem to change it, it seems.","chang size menu footnot font",1
"Would be better if it worked properly.","",0
"Managed to get pdb loaded, but couldn't get to the page I wanted.","",0
"I think this app needs a sort out, it could be good then.","",0
"Why is the links inside the book cannot be clicked?","",0
"Please fix this issue.","",0
"There is no option to disable it in the app.pls fix this issue so I can re-rate.","issu app fix disabl option rate",0
"The brightness settings don't make any sense and are impossible to adjust.","set sens brightn adjust",1
"It crashes all the time and will not hold settings.","hold set time crash",0
"The only problem is if you are listening to a book and touch the screen, it stops reading and goes to read only.","touch listen read stop screen book",1
"Same issue on two tablets with shutting down while reading less than a chapter and and if this isn't annoying enough, if I don't continually save bookmarks as I go along it restarts at very first reading point.frustrating!","issu restart save frustrat bookmark annoy read tablet chapter shut",0
"Fix that and you'll get 5 stars and I'll switch back to cool reader from moon+.","moon fix reader star cool switch",0
"Edit: updated version has the same problem.","",0
"Had the same issue with my old phone, app only showed sd card and ignored phone's storage.","card issu ignor app phone storag",6
"Wish it could read pdfs too.","",0
"add pls .docx support, all my books in docx format, it will take me a lot of time to convert them into the doc in order the cool reader can open them (the number of books is more than 4000), so pls add docx support, it is not difficult i think :)","format lot doc convert support reader add time book",0
"Will be 5 stars if this latest version has solved the bug where it very occasionally crashes,  taking with it all notes and bookmarks made since it was opened.","note bookmark star take crash version solv bug",0
"I needed this","",0
"A few small tweaks like a rearrange-able folder/location bookmark list would be nice, and I dream of being able to reflow/format text from a pdf file one day.","file text format bookmark day locat folder tweak rearrang dream list",0
"Hyperlinks don't work.","",0
"They really lack logical flow of use.","",0
"After the latest update, large files cannot be shown","",0
"Unfortunately, there are some weird glitches, although rare, where a book just will not open.","",0
"And I cannot figure out why.","",0
"Latest update(3.1.2-48) still crashes on orientation change on moto g","chang updat orient crash moot",0
"There are still problems with .mobi books: wrong positions of pictures, table of contents is empty.","posit content pictur mob book",0
"Please, fix.","",0
"Adding support for docx, PDF and maybe djvu would be great.","",0
"But still I miss the option to sync the progress between multiple android devices, and the desktop app.","app desktop progress option devic sync",7
"I really wanted to like Cool Reader, but I couldn't even browse to my sd card from within the program.","reader brows card program",0
"None of the ""predefined"" locations could be used to find it.","",0
"Unfortunately, there is bug with quotation marks from Update 3.1.2-48.","updat mark quotat bug",0
"It would be also great if there would be an option to enlarge the progress line, so it will be possible to see it clearly on HD screen.","enlarg line progress option screen",1
"unfortunately, text selection can't be set to long press on text","set text pre select",1
"But while downloading books from opds catalogs, if there is any error, whatever you try, it doesn't happen and the same old error is displayed","happen catalog display pod error tri download book",0
"Have tried deleting book and reloading but that is not working either.","tri reload book delet",0
"Its not the book as it works on other devices.","",0
"Speed of autoscrolling should be made controlled by a reader.","auto reader speed control scroll",1
"Although there is a problem after the latest upgrade: fullscreen doesn't work correctly on Samsung Galaxy S, Android 2.1.","amsun screen galaxi android",4
"I would only recommend fixing one minor bug that shuts the app down randomly.","app fix recommend shut bug",0
"Keep up the good work lad, can't wait for your another quality app","qualiti lad wait app",7
"cant read mobi files.plz fix it","file fix read mob",0
"Been enjoying for years, but now crashes every time.","",0
"I use to love this app and use it all the time but now I can't use it at all took 30 min to load a book I was reading and now I have to start ever book over won't load where I left off","love min app left time read load start book",0
"There are problems with recognizing words in some books I tried to read","word recogn tri read book",0
"I cant moved my ebooks here.","",0
"What the hell?it can't be downloaded","",0
"Can't touch-select links, keeps turning page.","",0
"Never crashed.","",0
"Earlier I had some problems, but I discovered that the problems were with the files.","",0
"Wish it had more of a bookshelf organization.","",0
"Mostly wish it would read pdf as most of mine are in that format","",0
"3stars for old time'sake.Used to love this reader.Now it doesn't even read .mobi format ebooks,it shows html source code every time you open an .mobi book,i tried unistalling and reinstalling it,didn't solve the problem.Plse fix it.","reinstal sourc love puls mob format fix reader star code read time instal tri solv book tike",0
"It just crashed everytime","",0
"Can't open pdb format","",0
"previously the app (when it's reading aloud) would have skipped the line when there was only a word (annoying because you miss that part).","app line word skip read annoy",0
"this is just unacceptable,  I can't listen a whole chapter.","",0
"This app crashes too frequently: useless.","",0
"Was great.now I wish I could give negative stars","",0
"Now after the last update, it crashes after every few minutes.","",0
"Please fix this.","",0
"It crashes a lot recently.","",0
"After updating new version all my books appear text coding then I cannot read them anymore.","appear code read version updat book",0
"Please fix  it asap","",0
"I love this app.should have given 5,but most of the time it crashes and open with a new oage","app love time crash page",0
"There needs to be a way to save your preferences.","",0
"Or if it's there then it needs to be easier to find.","",0
"Can't complain.","",0
"Just wish it would not jump to end of file if I leave my finger on page too long.","file jump wish leav page finger",1
"Please fix it.","",0
"Please fix it as I really love this app and don't want to change to other apps.","love app fix chang pap pleas",0
"But after last update I noticed that it start to crash.","",0
"I had a downloaded book and I couldn't get it to .","",0
"Same problem as someone else reported it shows text plus computer code.","",0
"Will have to delete this app.","",0
"Sometimes crashes and doesn't always keep the last book","",0
"Uninstalling since it is not working with pdb files","",0
"This is a huge issue.","",0
"Animation does not work as expected (as in previous version).","",0
"I hate this app I cant download the books off the website I want needs a major jpdate snd if it cant high light plz fix that too thx worst app I ever seen so far dont downllad this","light cant app fix seen websit hate updat download book",0
"It's nice I do like the set up but it keeps force closing and i have to force stop it to get it to work which makes it go back a lot, sometimes whole chapters and the fact it does not work with mobi files sucks","file close suck set stop forc chapter lot",0
"Nice app but it crashes regularly and I keep losing my page.","app lose crash page",0
"Fix this and get 5 stars!","",0
"Doesn't work with Samsung 10.1 anymore.","",0
"It can't find any of my pdf files,so i now use Adobe and i have no problem.","",0
"Please, please fix","",0
"Crash all the time","",0
"I used to be able to read my pdf on this but now they don't even show up on the list of books anymore please fix","fix read book list pleas",0
"Use it when I need to read, looks nice, but it's hard to find if you want to change anything, properties need to be simplifies and categorized from user perspective","simplifi properti perspect chang categor read",0
"Good app but can't read books in mobi format after the update.","mob format app read updat book",0
"Please resolve this.","",0
"Now it's very slow and unstable.","",0
"Update - months later & is still crashing out & losing my place every few minutes!","lose minut crash month",0
"it crashes suddenly in big ebooks files!","",0
"The file open function is a bit limited but calibre fixes that.","file function fix bit",0
"However I couldn't seem to find a way change the wooden background which appears not only in the reader but as a background to all pages in the publication you are reading!","appear chang reader background read page wooden public",1
"Have used it for sometime now and I am very impressed easy interface and a nice backgrounds and fonts still by far the best of all the readers and now the problem with mobi and html have been resolved .very easy to use and the adaptive background removes the strain in night mode .well done","mob mode strain night reader background font remov interfac resolv",1
"Loved it, then the update ruined it.","",0
"Please fix and add a reset or default feature and I will rate it a 5","reset featur fix add pleas rate default",0
"I have changed device and can't get the same app with my books on the new one.Help.","chang devic help book app",0
"It looks like a cool app, and almost read the rtf I wanted to read, but lacks an ability to select gbk character eencoding.","lack select app read look encod charact abil",0
"I don't know if it's a kitkat problem or something.","",0
"There must be a workaround though","",0
"Alright let me start with the bad: not a PDF reader and looks really weird when you install it.","reader instal start look",0
"There are some html like codes between the lines, please fix it and I'll give 5 stars again!","code star fix line pleas",0
"Needs to have a return to default settings.","",0
"Sometimes buggy when loading before sdcard is mounted makes it forget saved bookmarks","card save forget bookmark load mount",0
"Cannot open all files.","",0
"But can't find another reader as user friendly.","",0
"Still wish I could store my books in the catergories I have filed them in; eg.","file categori book store",0
"It's a cool reader, but it cannot get table of contents.","",0
"I hope next build will fix this.","",0
"Would like to be able to delete all bookmarks at once, instead of one at a time.","",0
"I wish there was a 'recently added' shelf, and it is very annoying that you can't just go into the author's who start with L. you have to go to L then LE then LET and on down the line.","author line wish shelf annoy start",0
"I'd like to be able to view all the titles which begin with S at once.","",0
"I can't open my txt files at all.","",0
"please fix this, i'll give you 5 stars","",0
"Other devices of mine do this too so it must be a bug rather than settings or my files Shame, will now look for another reader.","file mine set reader look devic shame bug",0
"Only problem is that occasionally it switches itself off and looses the page.","",0
"But it is minor problem.","",0
"Would be great if it read pdf","",0
"prc file) is complemented with some comupter code fr eg    Plz fix ths error.","file complement fix code error comput",0
"The only thing missing is odt support","",0
"Why I can't read file .prc, not appear true text format","appear text read format",0
"In fact, I haven't found any serious flaws.","",0
"Can't read mobi files.","",0
"Status bar is really good, though, and you can configure margins.","margin bar configur statu",4
"Can't believe this software is even available in this state!","",0
"Now can't read my .mobi books.","",0
"Fix it please, your reader was the best","",0
"On top of that, everytime I open a new txt, I have to disable it and cannot set it as default.","text disabl set time top default",1
"Also, font and encoding does not work well unless I turn on that stupid auto format.","encod auto font format",0
"Has been crashing every five minutes today.","",0
"I really liked coolreader because it has so many customizations but recently it keeps crashing whenever I try to do anything other than turn pages while reading.","tri reader cool read crash custom page",0
"it can NOT access SD card.","",0
"I had read very much books on it but it will be very good to add *.pdf.","",0
"I found a better reader app after this one crashed all the time.","reader time crash found app",0
"It didn't do a good job of keeping track where you were so I was doing more searching than reading","job search track read keep",1
"Can't read books in my y300 huawei.","",0
"Update: new version hasn't got this issue, problem fixed, thanks a lot!","issu fix version lot thank",0
"can't read uth-8 coding characters","",0
"Cannot imagine a better ebook reader for android.","reader android imagin book",0
"Fix this and it's back to 5 stars Gary","",0
"Though I wish there was an option to resize the page we are reading and most importantly I believe u should fix the quality of a page!","resiz fix qualiti wish read option page believ",0
"I can adjust the font just fine as well as the brightness.","",0
"I just miss PDF support which requires me to have a secondary application.","",0
"Fine for reading books you already have stored but can not search for anything online and the few it has are in another language.","line search read languag fine store book",0
"Can't open mobi file in my xperia z1s.","",0
"Please fix.","",0
"I needed a reader that would do a bunch of different formats and this one came up in the search.","reader search bunch format",0
"fix the MOBI or take it off yr list!","",0
"UI needs work.","",0
"Better UI would be great,  since fast changing of options can be tricky - still best reader out there.","",0
"Crash crash crash","",0
"I have read tons of books with this app, but all of a sudden when I put a book on here there is a whole bunch of code and bits of book all jumbled up.please fix.","app jumbl fix code bunch read bit ton book",0
"HTML everwhere cant read anything.","",0
"Why it can't support TTS function in English.","",0
"I've messed around with all of the settings and can't figure out why.","",0
"Cant read mobi format","",0
"This version doesnt display properly MOBI files@#!?#@!","file version display mob",0
"It would be great if that happens.","",0
"please fix it!","",0
"I want to keep it, but I need something that will also read PDF files!","",0
"Note it's crashing on start :(","",0
"I couldn't browse to my books on my sd card","",0
"PLEASE FIX!!!","",0
"I would like to give 5 stars if you add epub description description so there will be sinopsis story of the epub","descript star add stori pub",0
"Chokes on mobi format, can't make sense of calibre server opds.","mob format calib server choke pod sens",0
"Can't figure out how to change the voice option for the Text To Speech.","text speech voic chang figur option",1
"fix it!","",0
"Needs a lot of work to get it back where it was.","",0
"I think pdf should also be added in this then this app would be awesome","",0
"My phone have limited languages preinstalled as a result cant view the text of an epub korean hope u have an option to install such","reinstal text phone languag view option instal limit hope result",1
"Been using it for years now and I haven't found another app that delivers like this one.","app use found deliv",0
"Author - Please fix.","",0
"It is sad when updates add bells and whistles, but fail to do the original main task correctly!","fail task add updat bell whistl",1
"It was my favorite app, but now I need find a new book reader because it makes the HTML tags visible on mobi's and will not save personal settings any more- Droid Razer HD","mob save app reader set tag razer book",0
"this is a good app has been for a long time the latest update has started to crash force close constantly","app time start crash forc updat",0
"It shows all html tags.cannot read .mobi files","read tag mob file",0
"I wish there was more free books we can read on smartphones and laptops","laptop wish read phone book",0
"When you're reading a massive collection having to locate the book (libraries are also missing) then locate the page you were on is a great waste of time.","wast librari miss locat read time page collect book",0
"Spent hours trying to learn this apt and still can't figure out how to highlight.","apt spent figur learn hour tri highlight",7
"Couldn't read a .mobi file which it claimed to support","file read mob support claim",0
"Initially there was no such problem.","",0
"I cannot use this app any longer on my mobi books.","",0
"Please give us a choice of returning to the old app.","app return choic pleas",0
"Please fix for the deserved 5 stars it had before","",0
"Somehow when I tried to open PDB files, it showed an error of 'Unknown Document Format'.","file document somehow format error tri",0
"I've tried this with a number of PDB files but it showed the same error.","",0
"My MOBI files are unreadable so please fix it soon before we move on to another app:(","file fix mob app move",0
"Couldn't even see it, as it crashed on the first intent to open.","",0
"Recent updates have spoiled this good old app.nw it keeps on adjusting fonts.","app updat spoil adjust font",1
"it cannot read pdb files.","",0
"please fix.","",0
"Only issue so far is .mobi files showing as html code, but I trust this will be fixed in the next update.","file issu fix code trust updat",0
"But the app just kept crashing.","",0
"THEN, when I actually started to read a book, it would crash every 2-5 pages.","read start crash book page",0
"My favorite ebook reader but it has problems with mobi files and displays code (talking about non-drm mobi files).","file mob display reader code talk book",0
"If they could fix that it would be an awesome program","",0
"It would be better if they didn't have the huge space at the top just for a menu and back button.","",0
"Then you need to open the book again and manually move to the page you were on.","",0
"Can not speak more highly of this reader.","",0
"Fix this and I give it 5 again.","",0
"but, Couldn't you put pdf in the available read book list?","",0
"Only issue I've had is with it randomly switching from page view to scroll view, but that's very minor.","issu switch view scroll page",1
"Please fix this ASAP.","",0
"I downloaded it thinking that first it would be great then it I not it is so complicated that I don't even get how to read it then when I want to delete it won't go even when I zaped my tablet it dident  go so annoying","think diffid read annoy tablet delet download ape",0
"The latest version cannot open mobi format books.","version mob book format",0
"As of the last update the reader crashes out when ever a new document is opened via open file.","reader file document crash",0
"Please fix the fix.","",0
"Can't fault it.","",0
"But i wish i could view my books just like a library.","wish librari view book",0
"And now, it doesn't even display books properly.","",0
"But instead go to page  option is not work at all.and also the start up speed is extremely slow.","speed start option page",0
"nice app, well organized, but can not read all books filetypes","file organ type read book",0
"Can't open anything without it quitting immediately.","",0
"Almost perfect eccept pictures don't show well and have alignment problem.","",0
"After update can not get night mode to work properly.","",0
"Until I tried the read aloud option and it doesn't work like it used to it repeats every couple paragraphs in a loop like manner","manner aloud coupl repeat loop read option paragraph tri",1
"Please fix.","",0
"is that some file cannot read even it is compatible.","",0
"and it can't read a pdf but overall I love it!","",0
"I hate whining in reviews but couldn't find an easy way to get support.","hate review support whine",0
"Seems to store but come back in a few days and last one missing!","",0
"I use it daily and it has never crashed or lost the page.","",0
"From yesterday, facing crashes.","",0
"Also like that I can add and use my own fonts and colors.","",0
"I love all the options available and have had zero problems.","",0
"Only complaint is trying to figure out some of the many options, but thats just me.","complaint figur option tri",0
"I can not read anything in pdf format I'm disappointed this app looked good","app disappoint read look",0
"But for some reason they left out pdf's please fix this.","fix left pleas reason",0
"FC every time while opening .chm files in samsung galaxy grand 2 running 4.3 Please fix this.","file galaxi fix run amsun time pleas",0
"I tried a number of other applications, but they all had one issue or another that made me continue my search.","search applic tri issu continu",0
"I cant think of any words to say.","",0
"SHE NEVER REQUESTED THAT I SUPPLY HER WITH KINDLE WOODSTOCK.","",0
"Cool Reader crashed on me 40 minutes into Neal Stephensons Cryptonomicon.","reader tephenson minut microeconom crash",0
"Maybe it was the lack of Internet access in our dentists office.","offic lack dentist acc",2
"After trying out another free ebook reader and it failing to find the books that I put on my phone I found this wonderful app.","fail app reader phone book tri found",0
"I wish I could rate this 10 stars.","",0
"I tried to find my book but it said there wasn't a book wit that title but how could it not when I had the book on my dresser!!!","titl dresser tri book wit",1
"But it will be better if it could read pdf type.","",0
"The TTS has a very annoying problem.","",0
"Dialog where the character responds only ""yes"" or ""no"" is impossible to follow.","respond follow charact dialog",5
"Would be nice to have an option to highlight and delete a few books in one hit.","hit highlight book option delet",1
"Does not detect my PDF files so can't read","",0
