"original_sentence","transformed_sentence","topic"
"Very nice fluid design will really appreciate if u all could add a note viewer and editor
Free and Open Source Finally.","sourc add note design editor appreci fluid viewer",0
"Very good file manager and love the Skins
Please provide an option to disable pull to refresh The file manager that convinced me in both UI/UX.","disabl convinc love provid manag pleas file option skin pull refresh",0
"Don't lose time with other file manager This software is so effective.Because there is stupid ads.It is so simple to use it.I think  you should try it .","lose time tri softwar manag file",0
"Would love to be able to select a directory and have the application recursively add the contents to my Google Drive (or other) via ""Share"".","add share applic select love drive directori content",0
"App manager is having some minor problems, it only updates application status after reboot.","app applic updat manag reboot statu",0
"روووعه اروع مدير ملفات
Best file manager Really good, only missing thumbnail's for images and video's
Good job!","video imag thumbnail job manag file miss",0
"Simple and good Android needs more apps like this.","",0
"Great job It's gonna be awesome if you add dual tab exploring feature like explore file manager also i had a problem with Search function when im trying to finde for e.x *.pdf the app doesn't find any match but when I'm search for pdf, it does.","add app featur tri match tab job explor manag file function search fine",0
"A must on any nexus device which is missing a native file manager.","miss manag devic file",0
"I'm not sure if this is a system issue or something that could be added to Amaze.","",0
"I have been looking hard for a replacement for ES file explorer since I have been having root issues with it on the dreaded systemless root and after trying several different root file explorers, I am finally going with this one.","system root issu replac tri explor look file",0
"I only have one issue.","",0
"amazing app does everything I need it to and more.","",0
"cannot edit default spinner tabs
Super I love it
Bechtel
Just keeps getting better!","spinner edit super love echtel default get",9
"I'm maintaining the rating for the time being but the app won't start on my new mate 9.","rate time app start maintain mate",0
"Couldn't find how to access SMB shares though (the 3.0.0 ""what's new"" says SMB was implemented).","acc sob share implement",0
":)
One of the best file manager
Fix please.","fix manag pleas file",0
"Cant even scroll to bottom.","",0
"Can't ask for much more than that.","",0
"Its awesome
Es got replaced I just couldn't find a better file explorer ,the best and most simply ui,many settings and open source
Coolest
Awesome Best material file manager!!!","sourc replac explor manag file set",0
"Image browsing need to support gesture, instead of 1 at a time.","support brows time gestur imag",0
"Remove text editor, it can not auto detect encoding, have problem with large file, and never as powerful as pure text editor, which has syntax highlighting, replace, auto complete etc.","text highlight remov auto encod editor replac detect file etc syntax",0
"If u want to enhance txt editor, try with over 1mb novels, and replace func incliding \n. We'd better have edit/view mode switch, and coding/novel text mode switch, but is it necessary?","text includ edit mode enhanc novel editor replac tri fun code switch view",9
"Amazing Awesome app
It's not well This app can not start.","",0
"Great app, lots of potential Only missing is the ability to edit .txt/XML or any other text files.","text lot edit xml file abil miss",0
"Look nice,great UI.only thing missing is zip file support.","support look file miss zip",0
"And What it really lacks is support for zip and other compressed formats.","lack compress format zip support",5
"Sadly, it is missing LAN file sharing, which is a deal-breaker for me.","miss share breaker file deal",0
"I hope you don't change ^_^
When downloading, when I enter  Storage/Download directory the app keeps reloading itself please fix that
Free and not bloated Excellent app!","chang hope fix app enter reload directori storag download excel",0
"Cloud support would be nice.","",0
"Please keep your software simple.","",0
"cool
Amazing Awesome app
Zip files Awesome app, just need option to open zip files.","app option file zip",0
"If you need a quick and free solution for managing files, this is the way to go.","",0
"I only hope they add more features (a storage analyzer would be nice to find out what's eating up my space!)","hope add featur analyz storag eat space",0
"The only thing that it's missing is support for popular cloud storage.","support miss storag cloud",0
"Nice clean UI, has most of the features, still needs to fill up a few empty spaces, but very usable now and it's heading to the top.","top featur head fill space",4
"I was having some issues with my CM file manager.","",0
"If you need a fast, small file explorer and don't really want to have anything to do with rooting, do go with this!","",0
"All I found to have problem with is it doesn't detect otg devices.","tog found devic detect",0
"Cloud support would be nice.","",0
"Only thing I would say is that on Marshmallow I have to go to root, then /sdcard because going to /sdcard directly from the side menu doesn't work.","root menu card marshmallow",0
"Keep up the good work, also for backup an apk it would be nice to backup only the apk not the file structure.","",0
"Lacks LAN support.","",0
"It's awesome app
Simply fool
Speechless This app is so great and beautiful that I find myself just opening it for absolutely no reason at all, keep up the great work guys👍
Very nice app with low size Kindly add thumbnail  option  for music and videos
Almost perfect and the best just needs one major feature.","video add app featur music guy size option speechl reason",0
"Zip, rar archiving/extracting support then it'l top all the other file managers  Can't wait for this :) awesome app.","top support archiv app extract arr wait manag file zip",0
"File storage integration would be nice, but it's a fantastic app.","storag app integr file",0
"Yo, it can't detect external sd card on KitKat.","",0
"Please add OTG support
Fast and simple","support add simpl pleas",0
"I tried solid explorer first but when i paid them for full version, it failed but my money was gone.","money paid fail version tri gone explor",0
"In the sidebar, it just shows the SD card and doesn't shows the internal phone storage.","storag card phone sidebar",0
"If you have ES and hate the new UI and spam, GET THIS NOW
Excellent look and feel It's my goto for file browsing and OI when it doesnt work.","hate pam brows look file feel goto",0
"If there is something missing g it is the unzipping feature but I have a personal favorite for that so there is no problem.","",0
"And suggestion, add features 'quick apply' for color.","add appli featur color quick suggest",0
"It would be nice to have extensions to handle, for example, compressed archives.","compress archiv extens handl exampl",3
"Also, Amaze seems to have a much nicer UI than the other file managers I just downloaded, thinking I needed something separate to undo ZIPs.","undo zip manag nicer file think download",9
"Maybe they're not meant to, but it would be nice if they did.","",0
"the wallpaper when connected to g+ doesn't change
Kewl
Excellent look and feel It's my goto for file browsing and OI when it doesnt work.","wallpap chang connect keel brows look file feel goto",0
"Just one request to the developer that when we see the file in the folder it should display the size of that file also.","request display develop folder size file",0
"I cleared data but it didn't work, so I just uninstalled and reinstalled Amaze.","clear reinstal instal amaz datum",7
"G+ integration I don't think the g+ sync is necessary (read: bloat).","bloat sync integr read",7
"The only problem i have is that i cant play videos from samba share on vlc.","video share cant play",8
"Thank you very much
Epic UI Only one problem and that it can't erase system files when others can, but the UI is way better than any other.","epic thank system file",0
"SFTP support would be great.","",0
"Can't wait to see what else is added.","",0
"Dev please get another icon.","",0
"Awesome explorer love it After searching lots of explorers amaze explorer amazed me
Nice app, just needs an option to view the size of /root and home.","lot root home amaz explor size option search view",0
"Sadly, I can't find any option to sign-in to my Google Drive or other online storage account 😖  Plz dev, add cloud storage support, it will make this app super awesome.","support sign add awesom line account option drive storag",0
"plz plz plz
Awesome file manager though there's still some space for improvement.","improv space manag file",0
"But the problem is dat the header is too big, otherwise fantastic.","",0
"Thanks for fixing the problem with viewing hidden files.","fix thank view file",0
"Now it force closes when you delete something
OK I needed a root explorer with otg support and cool UI.","support close root delet forc explor cool",0
"Nice Better than es file
Great UI and colour request The look is decent and super functional, BTW there's a color accent is needed ""bright yellow""
That's it amaze file manager u need it You can change color s  on bottom or top bar and on the  folder s & so much more its the best for me
Honestly i was not expecting it to be this good.","chang request expect color folder accent look manag function bottom bar",0
"Fast lightweight
please add favourite folder
Thanks Good
Exactly what I wanted
Very good!","add thank pleas folder",0
"Good
Simple, clean, fast
great
Ad-less file manager, probably flawless too
Excellent
That's it amaze file manager u need it You can change color s  on bottom or top bar and on the  folder s & so much more its the best for me
a wonderful app!","flawl chang app color folder manag file bottom bar",0
"It's great but when I'm gonna edit something at the bottom one, the screen overlapping with the keyboard so I can't see what I edit.","screen edit gonna overlap keyboard",9
"Clean, easy to use, does what I need.","",0
"its good for file exploring and easy to use then another apps
This is a very good file explorer for those that need a, not to complicated, file explorer.","explor complic pap file",0
"Needs to differentiate the storage micro SD and internal storage by calling","micro storag differenti call",0
"Please, rename Amaze to the name that has word ""File"" in its title(""Amaze - file manger"" for instance) , since I don't use this app very often and when I try to search for it in app list I have a problem of finding it.","titl find list word amaz tri instanc renam pleas file search manger name",0
"The only missing feature is drive/next loud integrations.","",0
"explorer contains all the necessities in an explorer app, except it crashes","necess app explor contain crash",0
"We need more apps like this!","",0
"Waiting for built-in viewer & media player
Please add SMB support, and then it'll be the perfect file manager app.","support add player built app medium viewer manag pleas file wait",0
"Great app
needs some improvement in encryption and ability to use it to choose an","improv choos app abil encrypt",0
"There is just one problem that folders could not","",0
"be copied to otg drive it shows an error while copying to the drive or","tog copi drive error",0
"I have one issue, no editor?","",0
"It would be nice if the APK backup function could rename files with their version number like ES File Explorer did.","version explor renam backup file function",0
"Only issue I have now is getting Properties of large folder (488 items) the app crashes.","properti app crash issu folder item get",0
"Only thing I'm missing is network folder and ftpsupport
Great app hard to fault it I can only fault it for not having integrations with cloud storage providers otherwise 5*s.","support network fault integr folder provid miss storag",0
"I was going to comment that it needs a better icon, but the icon here on the Play Store looks ok.","icon look store comment play",8
"I think it would be perfect if there were a share/cloud option and for it to be compatible with DiskUsage but aside from that, it's a beautiful app!","share app option usag",0
"can't read doc files property.","",0
"the letters comes out in question marks in diamonds
Rename Tried renaming root file, Granted root, toast message says rename successful, but it failed to rename it.","grant mark root fail letter renam file messag toast diamond question",9
"Much room for additions The Design and interface feels exceedingly fluid but the app lacks many features.","addit design featur fluid lack feel interfac",0
"Consider adding features like System Analyser, gesture navigaton, tagging, favourites, FTP manager, trash, swipe for options etc.","swipe favorit trash system featur analysi tag manag option navig etc consid",0
"Beautiful UI, Throughput Speeds Need Improvement I have been a loyal ES File Manager fan for a long time.","time speed manag file fan improv throughput",0
"Keeps crashing every single time after the latest update.","",0
"Wiping out the app data seems to fix the issue.","fix wipe app issu datum",0
"Needs .zip functionality tho
add move to SD Card the app
Great This file manager is great and can be better: 1- a larger app launcher icon is better like other apps in lollipop.","add app zip card tho icon lollipop manag pap file move function",0
"2- some time app can't sort file and folder true.","sort time file folder",0
"USB OTG I'd just like the ability to read/write files on a usb thumb drive using my usb-c to usb-a adapter.","tog use adapt read sub drive thumb file abil",0
"Great work Best file manazer specially the UI only if u can add inbuilt rar and zip opener it will be great
Why the icon is different from the store.","add open icon arr manag store file zip",0
"Better if add more setting about view
Pretty But I have a USB thumb drive attached and I can't find the contents.","add attach drive thumb content set view",0
"Only thing I can think of that is missing is the ability to add bookmarks to folders on the android home screen/descktop.","add home folder screen desktop abil miss bookmark",0
"It's relatively simple, but has all of the basic functionality such as copying, cutting (moving), and pasting, and none of the extra bloat (like ads)  (and also it's open source)  The only bad thing about this app is that I can't seem to find how to add a shortcut.","sourc add shortcut app past copi none move cut function bloat",0
"you fixed the crashing
Smooth and fast
Can display full file name?","fix display crash fast file smooth name",0
"Nice design with a glitch I am unable to access / directory even with root permissions.","glitch design permiss root acc directori",0
"Whenever I try to go up from any directory it stops on first level directory like /system or /storage
Please fix it
This one is really simple and no nonsense app.","fix whenev app system tri level pleas directori nonsens storag stop",0
"But there is two feature I miss is a password protection and FTP doesn't work if WiFi network is created on mobile's hotspot.","wife creat network featur protect password potshot",9
"It's Ok
if I connect my pen drive to my phone.it doesn't show USB device
Best file explorer at no cost
The app looks good.","cost connect app devic explor look drive file phone",0
"But what I desperately missed is a built in image viewer to see the photos.","imag photo miss built viewer",0
"Please fix the issues as soon as possible.","",0
"More tabs would be nice, cloud service support would be welcomed too.","tab support servic cloud welcom",0
":)
UI Improvements How about adding options to add new files and folders within the floating + icon.","add folder icon option file improv float",0
"In this update I am unable to access root files.","acc root updat file",0
"Great app but need improvement Not compatible with cm13 on my oneplus one.","",0
"After granted root permission, amaze recognizes /data and some other directories as file and cannot enter them, while ES works without any problem.","grant permiss recogn datum root enter amaz file directori",0
"please fix.","",0
"Had an issue with it force closing when trying to write to the external SD Card but that's a known KitKat issue so I can't take points off for that.","close issu tri write forc card",0
"Beautiful UI, Throughput Speeds Need Improvement I have been a loyal ES File Manager fan for a long time.","time speed manag file fan improv throughput",0
"The static left side menu on tablet version is annoying Make the left static menu into a dynamic slide out hamburger menu.otherwise its good
Nothing fancy but gets the basics right I just wish it had more features like the competition.","annoy menu fanci basic featur version wish competit left slide tablet",2
"-Won't let me search when I'm browsing the LAN folders                       - The preview loading is pretty slow compared to other file managers
Need more costomazation I wish of I can change the file icon and the size
We will see.","chang custom compar preview folder wish icon brows size manag file search load",0
"Bugs out on smb Smb connections aren't stable
I've just started using this moved from ES and so far this is much better.","connect use start sob bug move",0
"Nice but too good I love to download apps,this app is well,I am using this app in my tablet dell venue7
Great file manager with superb material design this app is great and everyone should have it.","app design use materi venu love dell pap file manag tablet download",0
"however I'm having an really annoying problem that is docx file will not open with officesuite by default.","suit annoy offic default file",9
"i have tried setting and clearing defaults but it's still the same.","clear default set tri",0
"The only thing missing is an AMOLED theme.","",0
"The only good file manager that isn't filled to the brim with ads
This is a great app, but there are major otg issues and please add a feature to install all selected APKS on the same time, then this great file manager will become unbeatable.","add time app featur select issu brim manag pleas file fill instal ape",0
"Looks great A few requested features.","",0
"The best free file manager for android I wish it had otg support, and cloud integration but it is a free app, so the lack of those features can be forgiven; however, given the fact that it is open source I'm sure it's only a matter of time before these features get added.","sourc support time app matter featur forgiven integr wish lack android manag file",0
"There is a bug in the app when I will use root explorer.","root app bug explor",0
":(
The grid and list view are changing randomly, could you please fix it?","chang fix pleas list grid view",0
"Great app Very nice made file manger.but add an option to disable root folder access which is always showing then i will give 5 stars
Great, almost :) Nice looking app, but it'd be better if the app icon was changed to look material.","chang add app root star materi folder icon acc look option file manger",0
"Potentialy good app, but it randomly crashed.","",0
"Great app Would be nice to allow to use this app to select, let's say, some music in storage to be used as ringtone.","app allow select music tone ring storag",0
"Great file explorer Exactly what I need to manage all of my files.","",0
"Only missing the ability to move files and folders.","abil move miss file folder",0
"Pls add music player & image viewer Like ES explorer, and Amaze would be complete but without any bloatware
Good work, but long way to go Right now, the fab lacks animation, storage write is available on lollipop only, the collapsible app bar needs a revamp and much more.","add player imag ware music dab amaz viewer lack write explor lollipop revamp anim storag bloat bar",0
"Good Good but it would be better if you could include an option for sharing the files via share it, bluetooth and all
Rooted G🆕NOTE 4 Really like how is laid out.","includ note share laid root blue option file",0
"Missing some more advanced features
Loved it.","",0
"It was a pretty awesome app, really enjoyed it but since the last update some options won't stay on and it crashes after Google sign in.","sign app crash option enjoy stay",0
"Please fix
Great!","",0
"Can't reach it on my nexus 6 big as phone.","",0
"Just what I need.","",0
"It was working great until marshmallow update and now won't read sd card .","",0
"still a good internal file manager
Cannot open video files over network Good app!","video app manag network file",0
"But cannot open video files over SMB connection.","",0
"Simple, good No bloat or extra functions, would like to see support for usb otg.","support tog simpl sub function bloat",0
"Very nice Add double panel and ftp and it will be amazing!","",0
"And the Amaze file manager has not supported zip file extract try fix this in next is useful.","support fix amaz tri manag file zip",0
"And it can crash when given lage files to handle.","",0
"Fix those issues and you'll get a full 5stars rating!","rate fix star issu",0
"However when adding a bookmark it won't show in the bookmark list unless I close and reopen the app.","bookmark app reopen list",0
"For example when adding a bookmark I might want to give it a different name in the bookmark list that the original folder.","folder list exampl bookmark name",0
"The best free file manager for android I wish it had otg support, and cloud integration but it is a free app, so the lack of those features can be forgiven; however, given the fact that it is open source I'm sure it's only a matter of time before these features get added.","sourc support time app matter featur forgiven integr wish lack android manag file",0
"Album art of songs should be displayed!","",0
"The album art of songs should also be displayed, otherwise it's a beautiful and one of d most customizable file manager :) also add option for speedy delete
Dose it have ""cut"" option.","art add display delet song manag option file dose speedi cut",0
"But my only problem i cant see size my sd card or any other folder, i can see only the size of files.plz fix This.if u do it ill never uninstall
Fantastic!","fix card folder size ill file cant",0
"Good looking file explorer that still needs a little work.","",0
"Evertime I delete a file from while browsing the apks, the app crashes.","app crash delet brows file overtim ape",0
"But Can't copy file to sd card.","",0
"Fix it for 5 star.","",0
"My only gripe is that it would be nice if bookmarks showed in the hamburger menu.","gripe menu bookmark hamburg",9
"Looks great Definitely going to keep my eye on this one , won't remove me from Root explorer yet , but very nice
Nice Nice looking app, can you add LAN support then it be perfect.","support add app remov root explor look eye",0
"Just a good-looking file manager, cannot open or extract rar or zip files with password.","arr password manag look file zip",0
"the SMB functionality needs more polish it crashes when i play remote video files","video play function crash file",0
"A bug which I faced was, On selecting Sort apps by ascending order it does nothing.","select face ascend sort bug pap",7
"However when adding a bookmark it won't show in the bookmark list unless I close and reopen the app.","bookmark app reopen list",0
"For example when adding a bookmark I might want to give it a different name in the bookmark list that the original folder.","folder list exampl bookmark name",0
"Excellent tool Needs the ability to swipe between tabs, but overall a very good file manager.","swipe tool tab overal manag file abil",0
"The FTP function doesn't work for me.","",0
"Please fix this ASAP!","",0
"Open Source Decent File Manager
Good but needs improvements Please add progress bar while copying files and mounting/ unmounting USB.","sourc add copi decent mount manag pleas file sub improv bar",0
"I can't move folders, I can only copy and paste them.","",0
"And I can't exit app
Awesome Just need to show progress during copy/move or zip extraction
Unable to move files.","awesom extract copi progress exit file move zip",0
"But do add writing to sd card, it is the only issue I have
I don't like tabs, please provide an option in settings to disable tabs, thanks
NYce app but .","add app issu set write tab provid pleas option card thank",0
"You should need to be change this name or icon .","",0
"I can't copy my files, create folder,delete files to my SD card.","copi creat file card",0
"5 star after further exploration
Just needs metwork support 4* until it has network support.","support star explor network",0
"Good But Can Be Improved Please add copy & move window animations.","improv move add anim window",0
"Ok
New feature It would be nice to add cloud storage too.","",0
"Root explorer has an issue where it doesn't display the contents of the SD card and I have to go to root and then enter sdcard folder to correctly display items.","display enter root issu correctli folder explor item content card",0
"Also, can't modify permissions with root explorer checked
Really good material design Works well and intuitive.","design permiss root materi explor check",0
"It has just a few nice extra functionalities (zip, SMB) but also lacks some (""open with"", shortcuts).","shortcut zip lack sob function",0
"The only thing missing is FTP and SFTP support.","",0
"The one thing I need from this and most other apps is missing.","",0
"It's great and I've been a user for a while now but there's an issue with SD card.","",0
"I've been unable to find a way to do that with amaze.","",0
"Either needs to be added in or I'm blind/it isn't straightforward.","",0
"Need some final touch I'm using an old zenfone 4 that is still using kitkat, and too bad the copy-paste operation is not working.But this is a really good file manager after all.Smooth and fast.Keep up the great work devs, still waiting for kitkat full support though ✌
Excellent tool Needs the ability to swipe between tabs, but overall a very good file manager.","swipe support eno tool use touch atinka copi deb tab overal manag oper file abil past wait",0
"I will give it a 5 when it won't crash that easily
Every time I press the the recent apps button the app crashes.","time app crash button pap pre",0
"Please, for the love of God Add a '/' for the filesystem root to the slide out menu.","add menu system root god love pleas file slide",0
"I'm not sure why you skipped adding it.","",0
"But I couldn't open rar files with this app and I couldn't send installed apps apk files.","app arr pap file send",0
"if you add these .","",0
"it would be so great.","",0
"Works fine
Nice Can you guys add split view makes some multitasking easier
Cannot rename system files on nougat.","add multitask system nougat guy renam file view",0
"Also, when operations fail due to file permissions, they tend to fail silently, for example a delete operation ends in ""done"" but the file is still there.","permiss fail oper file tend exampl",0
"The app crashed all of a sudden.","",0
"I am just missing a link to cloud storages like Dropbox or Google Drive, with which I could upload entire folders.","upload cloud link folder drop drive miss storag box",0
"It would also be great to have a search function in the app manager.","manag app function search",0
"OTG not supported, I hope it will support soon
Great app
Lightweight, fast, clear .and free, and no adverts, just works.","tog hope support fast advert",0
"Nice Please update for android 6
Please add drag&drop system!","add drop pleas updat system",0
"The best material file manager, but please add drag&drop system.","add system materi manag pleas file drop",0
"Add search to the text editor
Pretty nice Needs some more advanced abilities, e.g. calculate md5 sum or ability to freeze apps.","text add sum editor freez calcul pap abil search",0
"I really need that.","",0
"Good Needs a toolbar for actions, move button and ability to make the app bar a bit narrower.","action app tool abil bit button move bar",0
"I want to use this as my main file explorer, but it needs some added features such as a text editor, zip viewer, and r/w functionality needs to be fully implemented.","text featur editor viewer implement explor function zip",0
"Especially if you want open source, but a lack of network drive access makes me take a star off.","sourc lack acc star network",0
"Lacks un rar feature.","",0
"Superb but lack of FTP & Cloud Storage Option.","lack superb storag option",0
"So please add them to fullfil this awasome file manager.","add manag fulfil file",0
"Please make the header smaller.","",0
"Also, I can't tell what the 3rd option does in the 'plus button' menu .","menu option button tell",0
"Cannot rename system files on nougat.","nougat renam system file",0
"Simple and clean but needs some polish It is a nice and fast app but the UI needs some improvements.","",0
"One problem I have with it is that it truncates the names of all files and folders so if you want to know the name of a file you need to long press select it and then go to menu properties, also on selecting files I wish it showed a bar with quick shortcuts to cut, copy, paste, share etc.","properti truncat menu shortcut share select past copi folder wish file cut pre bar name",0
"No external usb storage support Plz add this option.","support add sub option storag",0
"Awesome but I liked it very much cause only file explorer that works with NTFS system, but I am unable to use root option as I am on a custom 7.1 rom.","system custom root explor option like caus",0
"Please, fix it.","",0
"Other than that this might just become my default FM(after using root explorer for 5 years)
Good one pls add option to turn off animation, it needlessly slows down the operation.","add slow use explor option oper anim default",0
"This open source file manager needs one feature- OTG support.","sourc tog support featur manag file",0
"Please provide it in the next update.","",0
"It needs support for Drive and Dropbox.","support drop drive box",0
"App.is beautifully designed, but is missing some features.","design miss app featur",0
"Access to network resources and 3rd party cloud services like MEGA would be nice.","resourc servic cloud network mega acc parti",7
"Only thing is, it crashes alot.","",0
"First, it needs Mega Cloud support & second, it would be nice if there were dual homepages that you can swipe back & forth on, the being to have the internal storage open on first homepage & cloud link open in second homepage for the easiest & most efficient way of coping files back & forth between device & cloud
Excellent File Manager Its the world best file manager to extract any file .","swipe support forth cloud cope extract devic manag homepag file world link storag",8
"Please fix it in next update.","",0
"I am not able to see my memory card.","",0
"I don't find the setting also to change that n be please help me
On Android Oreo a piece of the folder on the icon is round and weird.","chang reo help folder icon android round pleas piec set",5
"Please add a filter option.otherwise its great file manager.simple an cool.","add filter cool manag pleas option file simpl",0
"Can guys add select all option in app manager to backup
Icon color Please randomize icon colors when random theme is activated
Happy user Simple to use n navigate around .most importantly.","add app activ random color icon theme guy manag option backup pleas navig simpl",0
"It's very basic, lacking tools I need.","",0
"If folder in a SMB share has a dot followed by a name, the icon changes to that name, which send to appear like a file with an extension of that name
Crash while share files Crash while sharing files from android folder inside internal SD
Bug Does not support cloud send and dropbox
Materially Nice This is a fantastic basic file manager.","chang support share appear crash dot folder icon follow sob extens file bug box send drop manag name",0
"I cant rename a file!!","",0
"cool i like it coz i can see the resource inside an apk like ringtones from subway surfers etc please provide more functions like delete etc
Need a more usability The ui is very charming but still lack of usability like fast scrollbar, hope it will get better soon
Really great!","usabl scrollbar hope resourc tone surfer ring provid lack pleas etc cox subway function cool",2
"Could you guys add interval select?","",0
"Please fix alarm tone selection bug.","select tone bug pleas alarm",0
"Also crashes sometimes in L. Keep up the good work
Simply amazing App crashes when you try to leave zip archive
Excellent app with neat interface.","app crash amaz tri leav interfac zip",0
"Good work
Almost perfect Needs download manager, otherwise it's a great and beautiful app.","otherwis app manag download",0
"Although I would suggest that you add the ability to remove The bookmark and App Manager short cuts from the sidebar.","add app remov manag abil suggest bookmark cut sidebar",0
"Please take this into consideration.","",0
"Can't use it because I cannot figure out how to write","",0
"App crashes as soon as it is started on version 3.3.0.","",0
"Please fix this as soon as possible
I like the app, but changing permissions of system files doesn't work, even","chang fix app permiss system pleas file",0
"Extracting rar files doesn't work when they have a password.","",0
"I would give for star because it is pretty smooth and simple, but one thing i do concern about, please add select all apps in apps category to backup all selected apps.","add concern select star categori pap pleas backup",0
"Any day better and cleaner than ES or solid, I would definitely prefer this, though there is a bug that when I try to delete multiple files at once the app crashes :( .","app crash delet tri day bug file prefer",0
"Developer please fix this bug ; I have cyanogenmod Android 6.0.1
Quick access doesn't show up on android 8.1
App keeps closing when trying to delete some documents
Please add option to select interval and batch rename.","fix document add cyanogen develop close delet select interv batch tri acc bug pleas option renam mod",0
"app is crashing frequently.","",0
"Please fix this.","",0
"4 stars because sometimes it crashes with no reason and randomly.","randomli reason star sometim crash",0
"This app is ok, but missing critical features like: rename files, navigation buttons (back, fwd, up level), ability to copy/edit path - file properties dialog (could at least allow to copy file size, name, path, do chmod, chown, etc), organized list, right now it is 75% empty screen space and small file names, while normally at least 30 lines could've been displayed.","fwd copi button miss file space display renam navig abil path app allow line list properti featur organ dialog size mod name",0
"I can't see the storage status.Please indicate the storage status of phone and sdcard.","statu pleas storag card phone indic",0
"I can see that now.But I think it would be better to make it visible as users won't be able to find it.Just a suggestion.Thanks.","",0
"Copy and cut issues After update i still have problems with copy and cut, can't do them from Storage to SD card.","updat issu copi storag cut card",0
"Please fix!","",0
":(
I support open source However, it crashed trying to delete 3 folders.","sourc support crash delet tri folder",0
"Here's a Bug: When you long click on a shortcut/bookmark like Music, Movies, etc.","shortcut music bug movi click bookmark etc",0
"The app crashes!","",0
"But When i move a file or folder it crashes
force stops while creating a new folder.","creat crash folder forc file move stop",0
"Doesn't detect SD card on Android N.
I really like the app, but lately I've been having problems with file actions, after trying something (paste, delete, rename, etc.) It crashes out :(
Lost functionality with 6.0 External hard drive that was found with 5.0 doesn't appear with 6.0
Needs work.","action app appear crash found tri detect lost function renam drive etc past card",0
"Performs OK, just keeps telling me has stopped whenever I try to open something and samba shares continually need to be refreshed.","share perform tell tri refresh stop",0
"I can't access shared folders on a LAN or ssh/ftp to anything.","acc share ssh folder",0
"Crashes After the new update it keeps crashing whenever I delete any file and change the color of the layout.","chang updat crash layout delet color file",0
"Please fix it
Thanks for the fast and lightweight manager.","fix fast manag pleas thank",0
"Therefore next operation in queue won't start.","",0
