"sentence","category"
"Amazing
I appreciate developers to do good work
Good Helpfull
Beautiful file manager Beautiful and sleek file manager with material design.","OTHER"
"All basic functions are there and the usability is great.","OTHER"
"Looks nice
Light, simple, fast and intuitive - with all the functionality I need.","OTHER"
"Apparently I don't need that much functionality and for most cases this app suits my needs just fine.","OTHER"
"Love it.","OTHER"
"The best on market UI is pretty cool
Really good.","OTHER"
"Open Source + Material UI = Poof!","OTHER"
"Certainly one of the best, no bloat file manager.","OTHER"
"The Material Design just is an icing on the cake.","OTHER"
"Love it
Awesome
Scroll issue When I try to use the scroll bar (instead of swiping my fingers) the transition is not good, it just flickers.","OTHER"
"Simple, beautiful and supports SMB shares!","OTHER"
"I was looking for a file manager I can use to access to SMB shares.","OTHER"
"All  other alternatives are either bloated with useless features like application managers, file cleaners or download monitors, or they don't have streaming from smb shares.","OTHER"
"Amaze is just what I want and nothing more.","OTHER"
"Bonus points for open source.","OTHER"
"Wonderful!","OTHER"
"I like it Nice features easy to use
Awesome Cool better than all the other.","OTHER"
"Love it extremely awesome the best I've seen in my life.","OTHER"
"Keep up the good work team amaze.","OTHER"
"And keep amazing others
Being Great The idea is great but the app is not perfect because it's not complete yet.","INFORMATION GIVING"
"But it's being perfect with each update.","OTHER"
"So 5 star in advanced.","OTHER"
"Nice
Solid replacement to the others I used to use regularly.","OTHER"
"Nice matching ui!","OTHER"
"Thanks for the hard work on this.","OTHER"
"Dev, a chance to check md5 in .zip properties in future?","OTHER"
".1/17 looks nice  :)
It's.","OTHER"
"Amaze-zazing.","OTHER"
"Beautiful Easily the most beautiful file manager which does the job well!","OTHER"
"Amazing Experience, out of all tried and tested FM's
Beautiful and Functional I like this fill manager but I'm not a fan of the new launcher icon.","OTHER"
"Love the UI The only file manager who really embraces all the capabilities of Material Design.","OTHER"
"•∆• AFTER NEWEST UPDATE •∆• App force closed when I select Images in the left-pane tab.","OTHER"
"√Just directly emailed the dev, seems like now the bug is solved.","INFORMATION GIVING"
"I'm amazed by how fast their response :D keep up the good work, cheers!","OTHER"
"Hannan OK
Google Nexus 6 Yeah Bro Its Superb
amazing This is 5 stars, specially the FTP feature.","OTHER"
"On the Nexus 6 The internal folder, (sd card), does not show up unless I search for it.","PROBLEM DISCOVERY"
"If I click on the bookmark for storage it doesn't show up but if I go from root to storage, emulated.","PROBLEM DISCOVERY"
"Good
Great App Fully customizable, yet powerful and easy to use
Simply beautiful Material look sleek indeed, and faster loading.","OTHER"
"Bookmark instead of clicking it twice, maybe better if implemented on side menu.","OTHER"
"Shows great promise
A great Open Source replacement for Astro file manager!","OTHER"
"So many good features and things like zip files just work as expected.","OTHER"
"No adds , clean,  beautiful
Usefull for opening unusual file type
Awesome file manager","OTHER"
"Truly Amazing!","OTHER"
"3.3.0 a much needed update!","OTHER"
"Finally!!","OTHER"
"Replaces ES File manager
Slick Very slick and easy app.","OTHER"
"Very well implemented the Material Design.","OTHER"
"NYC one
Favorite file manager for lollipop A beautiful modern feel and a solid foundation with plenty of customization and features.","OTHER"
"Yep this file manager is my favorite and I have tried just about all of them.","OTHER"
"I appreciate your hard work to make such a great app
Awesome Alternative to ES File Explorer Sweetly Materialised.","OTHER"
"Very clean and minimalistic design.","OTHER"
"But what I am missing in it is the use of gestures.","FEATURE REQUEST"
"Hope to see the same in the future updates
A 'dark theme' option, Thank you so much.","OTHER"
"Very well done.","OTHER"
"Practical and beautiful.","OTHER"
"Great
Were used this app
Light and clean with no ads.","OTHER"
"Great work!","OTHER"
"This app plus ghost commander can beat non-free ones.","OTHER"
"nice apps
No ads.","OTHER"
"awesome After searching through lots of file managers, it looks like the best.","OTHER"
"Ad free and simple.","OTHER"
"Loved it.","OTHER"
"Simple, lightweight, and quick.","OTHER"
"A perfectly capable file explorer for most users.","OTHER"
"This is a good alternative to the native file explorer bundled with Nougat.","OTHER"
"If you're looking for something more feature-rich, give FX Explorer or Solid Explorer a try, in addition to Amaze.","OTHER"
"Each of which are wonderful android apps to use and I cannot recommend them more.","PROBLEM DISCOVERY"
"Works for me So far I like it.I think it's very good for a beta app!","OTHER"
"Excellent no ads,no purchases simple best  and great UI
I think the best file manager Only thing I would like to be added is to have more options in the app manager (such as ""sort by"", and size), and the ""sort by"" option to be more easily accessible (but that might be just me being used to find it in a different place)
Sooooooo simple, yet complete!!!","FEATURE REQUEST"
"I love it.","OTHER"
"Just amazing But.","OTHER"
"Could you please show the total size of folders (like in solid explorer)?","FEATURE REQUEST"
"You could add an option for it in the settings
I really like the simple and clean design of this file manager.","FEATURE REQUEST"
"Its light, fast, and only have a needed function of file manager without some bloat function that you don't need on a file manager apps.","OTHER"
"Noice Best out there, does its job, well laid out and material design 🗂
Beautiful app Lot of functionality!","OTHER"
"Make a 1€ paid version guys!","OTHER"
"Beautiful and Simple Design Great file manager, I recommend it
Perfect material design
Most beautiful and lightweight file browser ever
Just amazing.","OTHER"
"So easy to use; simple, no-nonsense interface without any ads.","OTHER"
"I could even use it with root access in my Tab S when no other file explorer (even ES File Explorer Pro) could.","INFORMATION GIVING"
"Customizable, ad free, free works really well.","OTHER"
"Awesome job devs!","OTHER"
"Tranferring files I am facing problem when transferring files from the internal storage to a pendrive after the newest update
nice
Nice app It looks just like HTC file manger just with a NICE ui overhaul.","OTHER"
"I will use thIS as my only file explorer as I just found root settings.","INFORMATION GIVING"
"Amazing with no addons.I have linked this to my google +
Good alternative to ES File Explorer that has turned into malware
Uwesome
Best file manager ever.","OTHER"
"Built-in manager in sony sucks, but when I fpond this one, I was amazed :)
Still the best material designed file manager I've tested but I don't like the fact that delete is now buried within a menu rather than at the top of the screen when files are selected.","PROBLEM DISCOVERY"
"Exceeding expectations Best so far
Simple to use and there are no complicated interface issues with this app.","PROBLEM DISCOVERY"
"It is now my default file browser
Simple file manager with intuitive design and modern UI.","OTHER"
"My new goto file manager","OTHER"
"Never ceases to amaze me Just when I think that it can't get any better, it brings along an update which improves the experience.","PROBLEM DISCOVERY"
"Just love it.","INFORMATION GIVING"
"Best file manager I have used by far, and it's totally free with no ads!","OTHER"
"It is highly customisable with being overwhelming, with logical settings and a simple to use nature.","OTHER"
"The app also has great theme capability which allows you easily to change the colours of the app to suit your preference.","OTHER"
"This file manager easily stacks up to paid options, and I would happily pay for it!","OTHER"
"Dev; please don't change it, it's taken me so long to find this!","INFORMATION GIVING"
":D
Excelente
Great Great but 2 pane view for landscape would be even more awesome
Awesome!","FEATURE REQUEST"
"Really great design.","OTHER"
"Would be nice to see a support for cloud storage.","FEATURE REQUEST"
"Give ES file explorer some competition.","OTHER"
"Great file manager.","OTHER"
"It has all of the features other browsers charge for, great theme customization, and best of all it's free and open source.","OTHER"
"Great app, sadly smb does not work, has no other network connections.","PROBLEM DISCOVERY"
"Fantastic File Manager!","OTHER"
"Superb UI and material design with themes, Root exploration and most definitely easy to use and ad free.","OTHER"
"Functional and aesthetic A fully functional, well designed file manager with features that rival it's top competitors but not bloated like others.","OTHER"
"The app's frequently updated and the code is transparent and open source via github.","OTHER"
"I am a beautiful person.","OTHER"
"Amazing!","OTHER"
"Really love it with te availability of network connection to PCs.","OTHER"
"Having some issues with the app on the pixel 2 XL.","OTHER"
"Keeps on force closing when I open a file that it recently extracted.","OTHER"
"Sometimes force closes when opening a file (like  a picture ) and returning back to the app.","OTHER"
"Can't tell if deletion or extraction  was a success.","PROBLEM DISCOVERY"
"There's no progress bar or any indication.","OTHER"
"Have to reopen the app.","OTHER"
"FAST, does everything I could want, open source, even access network file shares!","OTHER"
"Super smooth and works great.","OTHER"
"Used to use complicated multipane  file managers to move stuff around but once I for used to the simple interface I prefer this.","OTHER"
"No nonsense file manager.","OTHER"
"All in one blast.","OTHER"
"App is very nice.but also add Apk Manager above App manager .and .extracting to desired location.","OTHER"
"Material design Goog
awesome update however there is a bug in add shortcut option.plz fix it.","PROBLEM DISCOVERY"
"Best material design file manager
please don't spoil this project like es explorer.","OTHER"
"Keep it simple
Good!","OTHER"
"Easy to use and feature rich
Look amazing Everything works.","OTHER"
"I very much like the clean, intuitive, simple navigation of this file manager.","OTHER"
"I one issue I have and that is I am trying to figure out how to give write access to the external 128GB MicroSD card.","INFORMATION SEEKING"
"When I try to copy/paste, or cut/paste objects from one location to the other I am being told I need to choose the root folder of the resource (external MicroSD card) and give it write permissions.","INFORMATION GIVING"
"But, no where is it clear as to how to do this.","INFORMATION SEEKING"
"At least it is not obvious how to do so.","INFORMATION SEEKING"
"One feature  I would like to see is, the ability to copy/cut/paste files from my home network's computer, NAS, etc., over WiFi to my Android device as well.","OTHER"
"Other then that, wonderful and simple file manager.","OTHER"
"A big thank you.","OTHER"
"Amazing There is only one function that I miss.","OTHER"
"I cannot make shortcuts  to place them on home screen.","PROBLEM DISCOVERY"
"Simple.","OTHER"
"Efficient.","OTHER"
"Very nice!!","OTHER"
"OPEN SOURCE!!","OTHER"
"Nicely surprised @ this file browser!","OTHER"
"Active application running @37.5mb, not bad.","OTHER"
"Very, very clean UI.","OTHER"
"Folder creation works.","OTHER"
"**dev.","OTHER"
"Please add networked access to PC.","OTHER"
"**dev.","OTHER"
"Please add option to allow changing the directory location for main menu items (DCIM, download, movies, music, videos and pictures).","FEATURE REQUEST"
"OPEN SOURCE app!!","OTHER"
"****No access to /data or others, even with root access and a app restart.","OTHER"
"Good app
Need this 1)Besides copy and delete, add 'cut' button too.","FEATURE REQUEST"
"2) Add a Recycle Bin so that deleted files can be retrieved.","OTHER"
"This app is light and bloatware free and I loved this.","OTHER"
"Function 5/5.","OTHER"
"UX 5/5.","OTHER"
"I am here just want to support open-source app.","OTHER"
"I love it!!!","OTHER"
"After the downfall of ES File Manager, Amaze rises from the ashes like a phoenix.","OTHER"
"Just what I was looking for !","OTHER"
"A simple effective interface in lollipop style.","OTHER"
"The other file managers try to do too much.","OTHER"
"Wonderful
Wonderful Excellent design and easy navigation.","OTHER"
"Few things would make it complete like built in extraction of zip,rar files.","OTHER"
"Perfect (Y)
Simply Better","OTHER"
"Plzzz change ur icon otherwise app is superb.","OTHER"
"Just love material design
One of the best file managers I've used on Android, even in its beta stage.","OTHER"
"The design is clean and functional, and the app is very well-designed.","OTHER"
"The fact that it's open source is a great bonus, too.","OTHER"
"Piece of perfection!","OTHER"
"Amazing!","OTHER"
"The best I find this to be the best file manager for android, i used other apps but this is the best and it is free.","OTHER"
"Well I love app and rate it 5 star, but uninstalling for now, looking for file manager with in built text editor and image viewer.","OTHER"
"Will check back later
Cleanest open source file browser Was looking for an open source ES File Explorer replacement.","OTHER"
"This was the best one i could find.","OTHER"
"I really like the design and do not miss any features.","OTHER"
"Thanks for creating this beautiful app!","OTHER"
"Light and beautiful!","OTHER"
"Simple snd clean
Liked it Feature rich, Adfree, Low on resorces.","OTHER"
"Good replacement for ES File explorer
Nice app Its simple and very cool
Really amazing
Simple UI / Open Source / No Ads
The best file manager with app manager to backup your apps
The best file manager, paid or free.","OTHER"
"Has tons of features.","OTHER"
"It supports file encryption, USB OTG (USB On The Go), root access, zip compression, and FTP.","INFORMATION GIVING"
"It has tons of features, and is free and open source.","OTHER"
"Xiaomi mi3 Loved it,keep improving it.","OTHER"
"Love it!","OTHER"
"I yse this file manager just because it fits my Android L Material Design theme.","INFORMATION GIVING"
"Seriously.","OTHER"
"Still a long way to go Incredible app with lots of potential, needs to improve in areas like copying, moving files.","FEATURE REQUEST"
"It can be more interactive during file transfer, copying, moving (please have a look at ASUS file manager).","FEATURE REQUEST"
"In Android 5.1 lollipop sometimes moving multiple files makes them disappear.","OTHER"
"Please ensure stability especially while moving, copying files.","OTHER"
"Please provide sidebar with quick navigation,  means you can slide the bar very fast and release it to the alphabet you want, like you do in contacts app.","OTHER"
"Super fast A pleasure to use.","OTHER"
"Need cloud support with file transfer, please.","FEATURE REQUEST"
"Lightweight, functional and ad-free.","OTHER"
"UI size and layout isn't very customizable, but that isn't an issue for me.","PROBLEM DISCOVERY"
"I'm amazed by Amaze!","OTHER"
"Perhaps the fastest and most good looking file manager for android with lots of features.","OTHER"
"Just wish the developers rename the name to simply Amaze.","INFORMATION GIVING"
"The current name ""Amaze File Manager"" is too long and doesn't look good on my minimalist screen
I don't usually write reviews but this has been the most solid and good looking file browser.","OTHER"
"It even comes with an FTP server for large file transfers!","OTHER"
"Very good app.","OTHER"
"It's name should not be containing ""Amaze"".","OTHER"
"As it should be standard.","OTHER"
"Nice app with dark theme.","OTHER"
"+ for open source!","OTHER"
"Update: All good now!","OTHER"
"Best among the bests Awesome.","OTHER"
"(y)
Fantastic file manager.","OTHER"
"Super job.","OTHER"
"Keep it up.","OTHER"
"✌🙌
Nice Loveit
Looks great.","OTHER"
"It does crash every now and then though
Great design but.","OTHER"
"It crashes very often but has potential to be great
Best file manager!","PROBLEM DISCOVERY"
"After trying a lot of different file managers, this one seems to be the best.","OTHER"
"It's easy to use and it looks good and it has full root capabilities.","OTHER"
"What more could you ask for?","OTHER"
"UI can be better but else way better than lot of paid file managers.","OTHER"
"Open source FTW!","OTHER"
"Great file manager I am too much invested in ES File explorer, so can't really change that.","PROBLEM DISCOVERY"
"But hey, you guys have made a beautiful and functional file manager!Edit: Back to amaze again!","INFORMATION GIVING"
"Supper Happy I'm using a nexus 7 tablet and this app works great!","OTHER"
"I can access the files I need on an external flash drive with ease and without constant irritating pop-ups slowing this old device down.","OTHER"
"The number 1 file manager for me
Perfect!","OTHER"
"Was using es file Explorer.","OTHER"
"It consumed a lot of ram and was always on in background.","OTHER"
"This is a perfect replacement.","OTHER"
"I just want to ask the developer to incorporate features to read and edit pdf, ppt, docx file formats.","INFORMATION SEEKING"
"It would be greatly appreciated.","OTHER"
"Thanks
Nice app Like
Great file manager Well hats off to the dev.","OTHER"
"But I would like to see some ui improvements in it.","FEATURE REQUEST"
"Some more skins with some good folder icons.","OTHER"
"But overall a very nice app
Superb I will give more than 5 stars,( but unfortunately the maximum is 5).","OTHER"
"But can you fix the problem with backup location.","PROBLEM DISCOVERY"
"Good App Beautiful interface nice look bery responsive
Ad free!","OTHER"
"Connects to smb!","OTHER"
"It does the thing!","OTHER"
"Awesome App This app is great.","OTHER"
"The best thing is it is free, open source and no ads
Awesome Best file manager on the play store.","OTHER"
"The Best Best file manager I have used
Beautiful.","OTHER"
"Minimalistic.","OTHER"
"Laconic.","OTHER"
"Solid.","OTHER"
"Best file explorer.","OTHER"
"Awesome work, loving the material UI.","OTHER"
"Only thing is the way it handles the USB otg .","OTHER"
"The bookmark doesn't open up the USB drive.","OTHER"
"Other than that it's the best.","OTHER"
"Keep up the good work.","OTHER"
"Well done man.","OTHER"
"!","OTHER"
"Nehraji u have done it.","OTHER"
"Just like normal file manager but it rocks bcoz of its material UI.","OTHER"
"There is one problem ive seen.","OTHER"
"I'll mail u. ;) keep it up.","OTHER"
"*/edited/* well done arpit (y).","OTHER"
"!!!","OTHER"
"although want to mention this especially for newbie kitkat users.","OTHER"
"""You can't do write operations by using any of 3rd party app.","PROBLEM DISCOVERY"
"This not a problem or any bug!","OTHER"
"this is kind of limitation made by google android dev itself.","OTHER"
"Want to overcome?","OTHER"
"Root ur device any install any sdcard permission change wala app"" ;)
Good file manager
But.","OTHER"
"Opening bookmarks.","OTHER"
"!","OTHER"
"Best open source file manager.","OTHER"
"Super Nice
Finally I got the replacement for es file explorer.I am really satisfied with the simplicity of the app.","OTHER"
"Great work devs.","OTHER"
"Please add an option to hide system apps in app manager window.","OTHER"
"Amazing file manager Really well made and functional, good and simple design, just right amount of features.","OTHER"
"Root explorer is working fine and has helped me debloat my phone.","OTHER"
"App manager is having some minor problems, it only updates application status after reboot.","PROBLEM DISCOVERY"
"Otherwise no problems, I would give you 10/5 stars if I could.","OTHER"
"I'm using f-droid version, installed it over Google play only to leave this review.","OTHER"
"Does everything I need Looks great.","OTHER"
"Clean, material, and themes.","OTHER"
"Cop, paste, search etc.","OTHER"
"Movies, pictures, download, music, all management and loads more.","OTHER"
"Top app!","OTHER"
"Great I was very loyal to other browsers till I found this!","OTHER"
"Very fast, smooth, and tons of options!","OTHER"
"One of my top apps.","OTHER"
"Excellent.","OTHER"
"Thanks
Would love more information density or more items per screen
Copying from SMB doesn't work, finishes instantly but leaves no file.","PROBLEM DISCOVERY"
"So far so good Just update grid view
Good But better if don't ask for identity permission.","INFORMATION GIVING"
"Like!","OTHER"
"Amaze an Amazing file manager
awesome!!","OTHER"
"Beautiful
Ftp server is awesome!","OTHER"
"Excelente Un gran reemplazo para el es file explorer excelente trabajo
Perfect.","OTHER"
"!","OTHER"
"THUMBNAILS SHOULD BE SQUARE TAB S 8.4  Android 6.0.1
Defenetly good I've just read the article on xda , and I was like why not.","OTHER"
"Now I'm glad I have given this app a chance it's amazing!","OTHER"
"Nice app
The best
Simply awesome
Feature requests!","OTHER"
"Can we have support for accessing the phone by ftp and accessing remote FTP/SFTP servers?","OTHER"
"No word to say Very unique & smooth .","OTHER"
"thnxs  for great app mr maker
Needs little improvements The app is nice, but it needs some improvements like: 1.","FEATURE REQUEST"
"The top part might be of a lesser height.","OTHER"
"Right now I feel it covers too much of space.","OTHER"
"2.","OTHER"
"Darker status bar (no problem with the existing implementation, but it would look better with a darker status bar).","OTHER"
"Wonderful!","OTHER"
"Very nice fluid design will really appreciate if u all could add a note viewer and editor
Free and Open Source Finally.","FEATURE REQUEST"
"a small, simple, free file manager that has all the functionality you need and also looks nice!","OTHER"
"Thanks for making this Open Source!","OTHER"
"Excellent!","OTHER"
"Open, free & easy.","OTHER"
"Awesome Great material file explorer without ads and all the features you (probably), need.","OTHER"
"Two thumbs up.","OTHER"
"Very good file manager and love the Skins
Please provide an option to disable pull to refresh The file manager that convinced me in both UI/UX.","FEATURE REQUEST"
"But please do provide an option to disable pull to refresh, Everytime I pull down intending to reach top of the list fast it refreshes.","OTHER"
"And also an option to reduce the action bar width.","OTHER"
"Veeeeeryyyyy goooooood","OTHER"
"Best File Manager Hands-Down I've tried most, and thus is the best File Manager that I have ever found.","OTHER"
"Straightforward, easy, and simple to use.","OTHER"
"It even gives you thumbnails of images and programs.","OTHER"
"Don't lose time with other file manager This software is so effective.Because there is stupid ads.It is so simple to use it.I think  you should try it .","FEATURE REQUEST"
"You never regret.","OTHER"
"Simple but powerful Just what you want in an explorer, simple but effective.","OTHER"
"Would love to be able to select a directory and have the application recursively add the contents to my Google Drive (or other) via ""Share"".","FEATURE REQUEST"
"Thanks devs, I've been after a simple explorer like this forever.","OTHER"
"Useful, free, awesome.","OTHER"
"Great job.","OTHER"
"App Very user friendly and very useful.","OTHER"
"Perfect!","OTHER"
"I can view any item, not just the ""modified last"".","OTHER"
"FTP is cool.","OTHER"
"Crypto and compression woohoo!","OTHER"
"Lightweight and without ads.","OTHER"
"Amazing file manager.","OTHER"
"Superb !!","OTHER"
"Great alternative to es explorer bloat adware.","OTHER"
"Thx!","OTHER"
"رائع جدًا
Amazing file manager Really well made and functional, good and simple design, just right amount of features.","OTHER"
"Root explorer is working fine and has helped me debloat my phone.","OTHER"
"App manager is having some minor problems, it only updates application status after reboot.","PROBLEM DISCOVERY"
"Otherwise no problems, I would give you 10/5 stars if I could.","OTHER"
"I'm using f-droid version, installed it over Google play only to leave this review.","OTHER"
"Loving it Woww
Simple and beautiful.","OTHER"
"Very good Perfect so far for my usage.","OTHER"
"Good customization.","OTHER"
"Perfect design.","OTHER"
"No issues.","OTHER"
"Might even replace Root Explorer that I've been using for years.","OTHER"
"And that means something!","OTHER"
"New favourite file manager I prefer this over other file managers as its clean and simple.","OTHER"
"Very good job
Awesome piece of kit!","OTHER"
"روووعه اروع مدير ملفات
Best file manager Really good, only missing thumbnail's for images and video's
Good job!","FEATURE REQUEST"
"Material design looks awesome here, pretty solid explorer been using it for a month or so without fcs or troubles whatsoever
Excellent
Thanks Developers Just awesome.","OTHER"
"Loved the meterial design.","OTHER"
"Simple and good Android needs more apps like this.","FEATURE REQUEST"
"Simple, beautiful and no unnecessary ads.","OTHER"
"amazing
Super Amazing performance.","OTHER"
"Better than es
Great looking and functional!","OTHER"
"The best!","OTHER"
"I gave it 5stars because it is so understandable, easy even for a noob like me.","OTHER"
"Love this app
Awesome Replaced my other file managers!","OTHER"
"Only thing missing would be a progress bar that can be minimized when you copy or move a file.","OTHER"
"So you have an idea of how long it'll take.","OTHER"
"Joedaar
La mia preferita.","OTHER"
"Funziona bene, appare bella ed è veloce!","OTHER"
"Best of its kind(free ones) Customization at its best
Awesome Has almost all the features of es without the bloating.","OTHER"
"Great job It's gonna be awesome if you add dual tab exploring feature like explore file manager also i had a problem with Search function when im trying to finde for e.x *.pdf the app doesn't find any match but when I'm search for pdf, it does.","FEATURE REQUEST"
"Perfect
Great app.","OTHER"
"Ditched ES which has become bloated adware.","OTHER"
"This is phenomenal.","OTHER"
"Nice Love it
Gorgeous file Manager with best design
Better than ES
Excellent","OTHER"
"Really this is the best file manager which I have seen ever had
This is the best file manager I've found for Android.","OTHER"
"Simple, functional, attractive, and open source.","OTHER"
"Highly recommended.","OTHER"
"Loved it This is the best file manager for Android.","OTHER"
"Best one This is the best file manager I have used.","OTHER"
"A must on any nexus device which is missing a native file manager.","FEATURE REQUEST"
"Awesome!","OTHER"
"Very beautiful design!","OTHER"
"Has all the features a power user needs.","OTHER"
"The first app to replace Total Commander in my app list.","OTHER"
"Fantastic open source file manager with a really nice design.","OTHER"
"One thing I'd like to see - ""Open with"" on HTML documents doesn't list Chrome as an option (however this is a possibility on other file managers).","OTHER"
"I'm not sure if this is a system issue or something that could be added to Amaze.","FEATURE REQUEST"
"In any case, fantastic tool and I'm glad there's such a good, open source option!","OTHER"
"I have been looking hard for a replacement for ES file explorer since I have been having root issues with it on the dreaded systemless root and after trying several different root file explorers, I am finally going with this one.","PROBLEM DISCOVERY"
"It has everything in it that I need and none of the unwanted fluff.","OTHER"
"Great work dev.","OTHER"
"It was included in the custom rom I installed.","OTHER"
"I love it now.","OTHER"
"Great UI
One of the best file managers.","OTHER"
"I only have one issue.","PROBLEM DISCOVERY"
"When moving files from internal storage to SD card, the files don't appear in apps such as Google Photos, until after i reboot the phone.","OTHER"
"edit: I should have mentioned, this problem doesn't occur with other file managers I've tried.","INFORMATION GIVING"
"Clean, functional and beautiful!","OTHER"
"Nothing against
AwesoMaterial!","OTHER"
"amazing app does everything I need it to and more.","FEATURE REQUEST"
"thanks Devs
Best
I'm developer and I love your work.","OTHER"
"Good application.","OTHER"
"cannot edit default spinner tabs
Super I love it
Bechtel
Just keeps getting better!","PROBLEM DISCOVERY"
"I'm maintaining the rating for the time being but the app won't start on my new mate 9.","PROBLEM DISCOVERY"
"Crashes instantly.","OTHER"
"Fix?","OTHER"
"So good!","OTHER"
"Nice Switched from es, thanks
Amazing Simple yet brilliant.","OTHER"
"Simple, fast, and lightweight.","OTHER"
"One of best file explorers out there.","OTHER"
"It's open source too.","OTHER"
"Amaze File manager Amaze File manager
Ok Great
The very best!","OTHER"
"Review The things with most material managers are they are good looking but they compromise on features .","OTHER"
"This delivers on both so kudos to the devs .","OTHER"
"One request would be to change the app icon which looks pretty ugly .","OTHER"
"May be try out something like that in moonshine icon pack
Clean and responsive Nice set of features and functionality.","OTHER"
"Simple and fast UI and easy to navigate.","OTHER"
"Nice!","OTHER"
"Very good Sexiest file manager out there.","OTHER"
"Beautiful.","OTHER"
"Couldn't find how to access SMB shares though (the 3.0.0 ""what's new"" says SMB was implemented).","PROBLEM DISCOVERY"
"EDIT: Thanks!","OTHER"
"(duh, I hadn't used the ""+"" button yet.)","OTHER"
".","OTHER"
"My life is now complete!","OTHER"
"Great Simple and functional
Nice Love it
Very Nice
Nice icon, nice name, I like all updates so far
Free open source and excellent.","OTHER"
"Stopped using ES Folder and came here Great!","OTHER"
"Simple!","OTHER"
"Loved it Ek number aahe asplet 8airbone isse  chalta hay without file download thanks amaze team
Latest update fixed crashing for me.","OTHER"
"Droid turbo 4.4.4 stock.","OTHER"
"Great app.","OTHER"
"Thank you for fixing the crashing so quickly.","INFORMATION GIVING"
"Great!","OTHER"
"My new favourite file manager This has become my new favourite file manager after another popular app went down the pan.","OTHER"
"Full featured but uncluttered.","OTHER"
"Just awesome","OTHER"
"Best file manager
Awesome ;) Best file manager I have ever used.","OTHER"
":)
One of the best file manager
Fix please.","PROBLEM DISCOVERY"
"So on other file manager if i open very large like conf file ex:apns config on /system/etc .","OTHER"
"then it not LAGS.","OTHER"
"Im using exynos note 3 btw.","OTHER"
"And in yours and some other it lags so much.","OTHER"
"Cant even scroll to bottom.","PROBLEM DISCOVERY"
"Maybe allocate more ram?","OTHER"
"Or use all threads available?","OTHER"
"And remember hardware rendering :) great job btw.","OTHER"
"Best file manager
I loved it because as opposed to other apps cluttered with ads and intrusive features, this one is clean, concise and fast.","OTHER"
"Extremely fast and intuitive file manager.","OTHER"
"Ah !!","OTHER"
"What a lovely , beautiful interface and color options is best thing.","OTHER"
